Team_id,Team,Season,PP%,PK%,S%,SV%,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,Playoffs,PTS/82
0,Anaheim Ducks,18-19,16.98,79.7,8.6,0.909,2.09,2.38,27.58,31.59,39.75,45.56,53.32,60.47,2.26,2.77,0,80
1,Arizona Coyotes,18-19,16.28,84.96,8.3,0.913,2.05,2.41,29.99,30.49,41.65,42.98,56.24,58.93,2.35,2.41,0,86
2,Boston Bruins*,18-19,25.9,79.92,9.6,0.912,2.47,1.94,32.21,27.61,44.66,38.16,58.47,50.91,2.45,2.17,1,107
3,Buffalo Sabres,18-19,19.49,80.93,8.2,0.901,2.28,2.86,31.5,32.97,42.96,44.22,55.26,56.75,2.24,2.5,0,76
4,Calgary Flames*,18-19,19.27,79.67,10.9,0.903,2.88,2.35,31.91,27.8,44.75,39.15,60.7,51.73,2.67,2.34,1,107
5,Carolina Hurricanes*,18-19,17.81,81.59,8.6,0.906,2.48,2.32,34.04,27.89,48.95,39.69,64.94,52.46,3.07,2.43,1,99
6,Chicago Blackhawks,18-19,20.17,72.73,10,0.898,2.81,2.85,31.71,33.98,41.65,44.77,56.83,58.95,2.38,2.84,0,84
7,Colorado Avalanche*,18-19,22.03,78.68,9.6,0.907,2.44,2.44,31.96,30.8,42.62,41.95,57.62,57.6,2.36,2.37,1,90
8,Columbus Blue Jackets*,18-19,15.38,85,9.9,0.904,2.79,2.57,31.38,29.52,43.02,40.62,55.38,54.13,2.54,2.4,1,98
9,Dallas Stars*,18-19,21.03,82.77,8.3,0.923,2.12,2.03,29.68,30.5,39.8,42.07,54.17,57.53,2.4,2.32,1,93
10,Detroit Red Wings,18-19,18.06,77.14,9.4,0.901,2.26,2.68,28.08,33.05,38.8,45.31,51.99,58.96,2.24,2.73,0,74
11,Edmonton Oilers,18-19,21.17,74.8,9.6,0.896,2.25,2.72,28.29,31.42,38.89,43,52.34,57.54,2.32,2.61,0,79
12,Florida Panthers,18-19,26.77,81.3,9.8,0.891,2.48,2.86,31.11,30.59,42.11,42.23,54.75,56.3,2.33,2.56,0,86
13,Los Angeles Kings,18-19,15.84,76.52,8.4,0.9,2.11,2.52,27.41,30.89,38.97,44.19,52.49,58.86,2.24,2.49,0,71
14,Minnesota Wild,18-19,20.33,81.67,8.2,0.904,2.12,2.4,30.95,28.41,42.73,40.72,56.8,55.97,2.35,2.03,0,83
15,Montreal Canadiens,18-19,13.25,80.91,8.8,0.907,2.84,2.57,34.8,30.32,47.44,41.08,65.78,55.35,2.68,2.34,0,96
16,Nashville Predators*,18-19,12.94,82.07,8.8,0.914,2.57,2.19,32.63,29.84,44.99,40.95,59.61,54.42,2.51,2.43,1,100
17,New Jersey Devils,18-19,17.72,84.31,8.8,0.895,2.23,2.88,29.21,32.16,39.65,45.19,50.88,59.56,2.3,2.47,0,72
18,New York Islanders*,18-19,14.54,79.91,9.4,0.925,2.42,1.9,28.3,29.32,38.99,40.86,52.94,56.06,2.41,2.28,1,103
19,New York Rangers,18-19,19.38,78.2,9.2,0.904,2.23,2.67,27.96,32.83,38.27,45.64,50.35,60.92,2.41,2.72,0,78
20,Ottawa Senators,18-19,20.35,79.17,10,0.897,2.56,3.28,28.45,35.32,39.29,48.63,52.05,66.26,2.32,2.71,0,64
21,Philadelphia Flyers,18-19,17.09,78.48,9.3,0.895,2.54,2.96,29.52,32.7,40.77,44.11,54.8,60.57,2.39,2.54,0,82
22,Pittsburgh Penguins*,18-19,24.56,79.73,9.9,0.913,2.73,2.28,33.25,31.89,44.85,43.08,59.54,57.75,2.7,2.46,1,100
23,San Jose Sharks*,18-19,23.65,80.77,10.7,0.889,2.97,2.8,32.26,26.97,45.77,37.7,62.46,50.92,2.74,2.35,1,101
24,St. Louis Blues*,18-19,21.1,81.47,9.4,0.906,2.58,2.23,31.26,27.6,42.49,38.11,56.75,51.9,2.62,2.21,1,99
25,Tampa Bay Lightning*,18-19,28.24,85.02,12.2,0.916,3.24,2.47,32.83,30.37,45.08,41.16,59.93,53.98,2.61,2.3,1,128
26,Toronto Maple Leafs*,18-19,21.8,79.9,10.5,0.908,3.13,2.57,32.33,32.98,47.3,46.55,65.11,59.86,2.82,2.63,1,100
27,Vancouver Canucks,18-19,17.13,81.1,9,0.905,2.23,2.68,28.22,31.99,39.9,43.93,53.4,59.19,2.18,2.56,0,81
28,Vegas Golden Knights*,18-19,16.81,80.87,8.7,0.905,2.62,2.42,33.7,28.42,46.35,38.36,63.24,51.96,2.83,2.28,1,93
29,Washington Capitals*,18-19,20.76,78.93,11,0.904,3.01,2.41,30.16,30.73,43,43.5,57.71,57.97,2.45,2.7,1,104
30,Winnipeg Jets*,18-19,24.8,79.2,10.6,0.911,2.64,2.48,30.74,32.15,42.27,43.86,56.54,58.1,2.35,2.55,1,99
31,Anaheim Ducks*,17-18,17.76,83.21,9.3,0.923,2.43,2.09,29.81,30.78,42.27,43.85,56.18,58,2.49,2.59,1,101
32,Arizona Coyotes,17-18,16.87,79.46,8.4,0.905,2.16,2.48,28.39,31.7,40.33,46.51,55.8,61.33,2.21,2.55,0,70
33,Boston Bruins*,17-18,23.64,83.67,9.9,0.912,2.57,2.15,31.98,27.5,44.76,38.48,59.58,51.07,2.5,2.13,1,112
34,Buffalo Sabres,17-18,19.07,77.87,7.7,0.896,1.84,2.78,28.98,32.7,38.73,44.66,50.04,58.03,1.97,2.36,0,62
35,Calgary Flames,17-18,15.99,81.78,7.8,0.905,2.34,2.52,32.98,30.06,47.86,42.51,63.71,56.31,2.66,2.45,0,84
36,Carolina Hurricanes,17-18,18.41,77.49,8.1,0.893,2.34,2.7,32.61,28.74,45.91,40.19,62.62,52.3,2.61,2.35,0,83
37,Chicago Blackhawks,17-18,15.99,79.24,8.2,0.906,2.45,2.67,33.42,32.61,44.69,43.57,63.49,58.63,2.58,2.66,0,76
38,Colorado Avalanche*,17-18,21.96,83.27,10.5,0.914,2.44,2.39,29.14,32.27,40.05,44.53,55.17,59.94,2.09,2.38,1,95
39,Columbus Blue Jackets*,17-18,17.18,76.17,8.5,0.912,2.58,2.23,33.34,30.37,45.72,41.18,59.56,55.86,2.68,2.52,1,97
40,Dallas Stars,17-18,19.26,80.78,9,0.909,2.38,2.1,29.79,28.25,41.27,39.23,57.07,54.61,2.45,2.12,0,92
41,Detroit Red Wings,17-18,17.52,77.61,8.5,0.903,2.23,2.59,29.42,31.2,41.12,42.48,53.34,56.48,2.31,2.46,0,73
42,Edmonton Oilers,17-18,14.76,76.73,8.4,0.901,2.49,2.62,31.98,32.09,44.47,43.59,58.89,59.32,2.73,2.66,0,78
43,Florida Panthers,17-18,18.88,80.18,8.7,0.914,2.53,2.55,32.94,33.19,44.95,44.67,57.56,59,2.41,2.56,0,96
44,Los Angeles Kings*,17-18,20.42,85,9.3,0.92,2.41,2.15,29.55,29.67,41.46,42.14,55.73,56.15,2.25,2.45,1,98
45,Minnesota Wild*,17-18,20.42,81.25,10.1,0.911,2.45,2.26,29.78,29.77,39.63,42.03,52.42,57.31,2.28,2.02,1,101
46,Montreal Canadiens,17-18,21.31,74.14,7.7,0.903,1.99,2.48,31.26,31.33,42.34,42.88,58.72,59.37,2.51,2.43,0,71
47,Nashville Predators*,17-18,21.17,81.94,9.9,0.923,2.66,1.99,32.27,30.5,45.08,41.13,60.88,55,2.51,2.39,1,117
48,New Jersey Devils*,17-18,21.43,81.78,9.3,0.908,2.47,2.57,30.88,30.9,42.22,43.87,54.56,57.69,2.46,2.45,1,97
49,New York Islanders,17-18,23.2,73.19,10.1,0.9,2.68,2.93,29.97,34.45,40.77,46.94,55.5,62.46,2.44,2.77,0,80
