Season,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
14-15,Detroit Red Wings*,28.9,82,43,25,14,100,0.61,231,211,4,10,0.14,-0.03,5.39,158,148,70,294,23.81,55,288,80.9,3,8,8.8,9.7,2429,9.5,2322,0.909,6
14-15,Edmonton Oilers,27.2,82,24,44,14,62,0.378,193,276,5,7,-1.01,0.03,5.72,148,218,41,232,17.67,51,219,76.71,4,7,8.3,8.7,2331,8.3,2464,0.888,2
14-15,Florida Panthers,29.2,82,38,29,15,91,0.555,198,213,8,10,-0.23,-0.02,5.01,157,157,40,246,16.26,50,250,80,1,6,8.9,9,2516,7.9,2424,0.912,4
14-15,Los Angeles Kings,28.5,82,40,27,15,95,0.579,218,197,2,8,0.16,-0.03,5.06,164,150,47,247,19.03,45,236,80.93,7,2,9.1,9.1,2536,8.6,2214,0.911,9
14-15,Minnesota Wild*,27.7,82,46,28,8,100,0.61,227,198,4,3,0.39,0.03,5.18,184,163,39,246,15.85,32,234,86.32,4,3,8.9,9.7,2522,9,2265,0.913,8
14-15,Montreal Canadiens*,28.4,82,50,22,10,110,0.671,214,184,7,5,0.36,-0.03,4.85,167,138,40,242,16.53,42,257,83.66,7,4,10.2,9.3,2334,9.2,2470,0.926,9
14-15,Nashville Predators*,28.4,82,47,25,10,104,0.634,226,202,6,6,0.33,0.03,5.22,180,152,42,259,16.22,45,234,80.77,4,5,8.5,9.3,2614,8.6,2317,0.913,5
14-15,New Jersey Devils,30.5,82,32,36,14,78,0.476,176,209,5,7,-0.4,0.02,4.7,128,149,41,212,19.34,52,268,80.6,7,8,9.3,7.7,2008,8.8,2518,0.917,5
14-15,New York Islanders*,27.3,82,47,28,7,101,0.616,245,224,7,6,0.26,-0.01,5.72,185,173,50,267,18.73,48,217,77.88,10,3,8.5,9.4,2771,8.8,2321,0.903,6
14-15,New York Rangers*,29.4,82,53,22,7,113,0.689,248,187,4,5,0.69,-0.04,5.3,200,144,39,232,16.81,37,235,84.26,9,6,8.7,8.2,2582,9.6,2418,0.923,11
14-15,Ottawa Senators*,26.9,82,43,26,13,99,0.604,232,208,6,7,0.25,-0.04,5.37,179,156,47,280,16.79,44,257,82.88,6,8,10.3,11.1,2539,9.1,2635,0.921,6
14-15,Philadelphia Flyers,28.6,82,33,31,18,84,0.512,212,223,3,11,-0.23,0,5.3,149,156,60,256,23.44,61,266,77.07,3,6,10.2,9.2,2413,8.8,2481,0.91,3
14-15,Pittsburgh Penguins*,29.5,82,43,27,12,98,0.598,217,204,4,6,0.12,-0.01,5.13,162,151,49,254,19.29,42,277,84.84,6,11,13.7,12.1,2594,8.4,2401,0.915,10
14-15,San Jose Sharks,28.5,82,40,33,9,89,0.543,224,226,4,6,-0.08,-0.03,5.49,165,173,55,254,21.65,48,223,78.48,4,5,9.3,10.4,2591,8.6,2436,0.907,8
14-15,St. Louis Blues*,28.3,82,51,24,7,109,0.665,239,197,9,4,0.59,0.02,5.32,181,150,56,251,22.31,42,257,83.66,2,5,11,10.6,2535,9.4,2233,0.912,10
14-15,Tampa Bay Lightning*,26.9,82,50,24,8,108,0.659,259,206,3,5,0.57,-0.06,5.67,199,158,53,282,18.79,42,257,83.66,7,6,9.9,10.5,2428,10.7,2287,0.91,5
14-15,Toronto Maple Leafs,27.7,82,30,44,8,68,0.415,206,257,5,5,-0.61,0.02,5.65,154,193,45,283,15.9,52,266,80.45,7,12,10,10.7,2397,8.6,2748,0.906,2
14-15,Vancouver Canucks*,29.4,82,48,29,5,101,0.616,236,220,6,2,0.2,-0.05,5.56,184,180,46,238,19.33,38,266,85.71,6,2,10.9,9.8,2453,9.6,2446,0.91,9
14-15,Washington Capitals*,28.1,82,45,26,11,101,0.616,237,199,5,4,0.44,-0.03,5.32,173,145,60,237,25.32,50,266,81.2,4,4,10.5,10.4,2419,9.8,2368,0.916,9
14-15,Winnipeg Jets*,27.3,82,43,26,13,99,0.604,223,204,7,6,0.29,0.04,5.21,165,143,48,269,17.84,56,308,81.82,10,5,13,11.6,2439,9.1,2350,0.913,7
13-14,Anaheim Ducks*,27.7,82,54,20,8,116,0.707,263,203,3,6,0.68,-0.01,5.68,209,147,44,275,16,48,270,82.22,10,8,10.9,12.6,2569,10.2,2353,0.914,6
13-14,Boston Bruins*,27.6,82,54,19,9,117,0.713,258,171,3,6,0.92,-0.11,5.23,199,122,50,230,21.74,43,263,83.65,9,6,10.8,10.1,2612,9.9,2385,0.928,9
13-14,Buffalo Sabres,26.6,82,21,51,10,52,0.317,150,243,7,5,-1.09,0.02,4.79,109,187,36,256,14.06,51,274,81.39,5,5,11,10.4,2156,7,2816,0.914,0
13-14,Calgary Flames,26.7,82,35,40,7,77,0.47,202,238,7,3,-0.35,0.04,5.37,151,188,39,249,15.66,43,235,81.7,12,7,10.5,10.6,2199,9.2,2345,0.899,2
13-14,Carolina Hurricanes,27,82,36,35,11,83,0.506,205,226,2,4,-0.29,-0.01,5.26,153,174,41,281,14.59,44,241,81.74,11,8,7.9,9,2561,8,2537,0.911,2
13-14,Chicago Blackhawks*,27.5,82,46,21,15,107,0.652,261,212,6,8,0.6,0.02,5.77,202,160,50,257,19.46,46,248,81.45,9,6,8.5,8.7,2715,9.6,2229,0.905,3
13-14,Colorado Avalanche*,26.9,82,52,22,8,112,0.683,245,216,5,4,0.4,0.04,5.62,192,167,50,252,19.84,48,249,80.72,3,1,10.9,10.5,2420,10.1,2678,0.919,4
13-14,Columbus Blue Jackets*,26.1,82,43,32,7,93,0.567,226,214,5,2,0.16,-0.03,5.37,163,156,54,280,19.29,50,280,82.14,9,8,11.1,11,2431,9.3,2524,0.915,8
13-14,Dallas Stars*,28.2,82,40,31,11,91,0.555,231,223,4,5,0.14,0.05,5.54,177,169,46,290,15.86,49,263,81.37,8,5,11,11.6,2597,8.9,2492,0.911,6
13-14,Detroit Red Wings*,28.6,82,39,28,15,93,0.567,217,221,5,9,-0.14,-0.04,5.34,164,166,50,282,17.73,50,295,83.05,3,5,8.8,8.6,2456,8.8,2400,0.908,5
13-14,Edmonton Oilers,26.5,82,29,44,9,67,0.409,199,267,4,3,-0.75,0.07,5.68,149,204,46,271,16.97,50,280,82.14,4,13,11.8,12,2208,9,2696,0.901,4
13-14,Florida Panthers,29,82,29,45,8,66,0.402,188,262,8,6,-0.87,0.01,5.49,153,193,27,269,10.04,63,262,75.95,8,6,10.3,10.9,2451,7.7,2551,0.897,1
13-14,Los Angeles Kings*,27.4,82,46,28,8,100,0.61,198,168,8,6,0.4,0.01,4.46,150,112,43,284,15.14,50,296,83.11,5,6,10.7,11.1,2595,7.6,2148,0.922,13
13-14,Minnesota Wild*,27.2,82,43,27,12,98,0.598,199,198,8,8,0.07,0.05,4.84,150,137,45,252,17.86,53,250,78.8,4,8,9.5,9.9,2180,9.1,2273,0.913,8
13-14,Montreal Canadiens*,28.3,82,46,28,8,100,0.61,209,201,6,3,0.08,-0.05,5,155,150,48,279,17.2,43,289,85.12,6,8,13,12.8,2330,9,2541,0.921,8
13-14,Nashville Predators,26.7,82,38,32,12,88,0.537,214,233,2,9,-0.25,0.07,5.45,166,186,46,239,19.25,47,238,80.25,2,0,9.9,9.4,2382,9,2370,0.902,5
13-14,New Jersey Devils,30.6,82,35,29,18,88,0.537,197,195,0,13,-0.15,-0.02,4.78,141,155,47,241,19.5,36,264,86.36,9,4,8,8.2,2199,9,2089,0.907,6
13-14,New York Islanders,26.2,82,34,37,11,79,0.482,216,261,9,6,-0.51,0,5.82,159,196,49,276,17.75,58,265,78.11,8,7,12.4,11.5,2537,8.5,2464,0.894,4
13-14,New York Rangers*,27.4,82,45,31,6,96,0.585,214,190,4,3,0.26,-0.04,4.93,156,149,48,264,18.18,34,232,85.34,10,7,10,10.4,2719,7.9,2412,0.921,8
13-14,Ottawa Senators,26.6,82,37,31,14,88,0.537,229,258,7,7,-0.37,-0.02,5.94,174,186,50,271,18.45,61,320,80.94,5,10,13.3,12,2691,8.5,2849,0.909,5
13-14,Philadelphia Flyers*,27.7,82,42,30,10,94,0.573,233,227,3,8,-0.01,-0.02,5.61,167,168,58,294,19.73,48,316,84.81,8,11,14.2,13.4,2490,9.4,2508,0.909,6
13-14,Phoenix Coyotes,28.7,82,37,30,15,89,0.543,210,224,6,7,-0.16,0.03,5.29,151,162,56,282,19.86,57,272,79.04,3,5,9.9,9.9,2497,8.4,2540,0.912,5
13-14,Pittsburgh Penguins*,28.3,82,51,24,7,109,0.665,242,204,7,3,0.47,-0.04,5.44,173,160,65,278,23.38,38,254,85.04,4,6,10.1,10.9,2454,9.9,2358,0.913,6
13-14,San Jose Sharks*,28.7,82,51,22,9,111,0.677,239,193,10,7,0.6,0,5.27,181,154,50,291,17.18,33,219,84.93,8,6,9,11.2,2851,8.4,2281,0.915,6
13-14,St. Louis Blues*,27.4,82,52,23,7,111,0.677,239,188,9,3,0.71,0.01,5.21,177,140,56,283,19.79,42,293,85.67,6,6,14.2,14.2,2402,10,2163,0.913,9
13-14,Tampa Bay Lightning*,27.1,82,46,27,9,101,0.616,232,209,8,6,0.25,-0.06,5.38,172,149,50,270,18.52,52,270,80.74,10,8,10.3,10.2,2446,9.5,2397,0.913,7
13-14,Toronto Maple Leafs,26.2,82,38,36,8,84,0.512,222,252,9,4,-0.34,-0.04,5.78,165,182,50,252,19.84,58,268,78.36,7,12,12.7,11.8,2290,9.7,2945,0.914,2
13-14,Vancouver Canucks,28.6,82,36,35,11,83,0.506,191,216,5,7,-0.3,0.03,4.96,146,166,39,257,15.18,46,274,83.21,6,4,13.6,12.1,2527,7.6,2327,0.907,7
13-14,Washington Capitals,26.5,82,38,30,14,90,0.549,225,229,10,11,-0.08,-0.02,5.54,152,168,68,291,23.37,51,284,82.04,5,10,11.6,12.2,2412,9.3,2750,0.917,5
13-14,Winnipeg Jets,26.3,82,37,35,10,84,0.512,219,231,8,6,-0.07,0.06,5.49,174,176,40,259,15.44,49,291,83.16,5,6,11.9,10.6,2516,8.7,2472,0.907,3
12-13,Anaheim Ducks*,28.8,48,30,12,6,66,0.688,134,115,6,3,0.43,-0.02,5.19,100,80,29,135,21.48,30,162,81.48,5,5,11.1,9.5,1347,9.9,1340,0.914,5
12-13,Boston Bruins*,27.8,48,28,14,6,62,0.646,127,106,4,3,0.44,-0.02,4.85,104,83,18,122,14.75,21,163,87.12,5,2,12.2,9.8,1557,8.2,1373,0.923,6
12-13,Buffalo Sabres,27.3,48,21,21,6,48,0.5,118,139,7,4,-0.31,0.07,5.35,88,95,23,163,14.11,37,178,79.21,7,7,13.1,12.4,1339,8.8,1606,0.913,1
12-13,Calgary Flames,29,48,19,25,4,42,0.438,128,157,0,3,-0.65,0.02,5.94,91,127,31,155,20,28,151,81.46,6,2,10.8,9.9,1293,9.9,1412,0.889,0
12-13,Carolina Hurricanes,26.9,48,19,25,4,42,0.438,127,159,1,1,-0.65,0.02,5.96,100,119,24,165,14.55,36,161,77.64,3,4,11.2,10.6,1545,8.2,1546,0.897,2
12-13,Chicago Blackhawks*,26.8,48,36,7,5,77,0.802,149,97,6,5,1.04,-0.07,5.13,119,74,25,150,16.67,18,141,87.23,5,5,9.2,10,1494,10,1258,0.923,7
12-13,Colorado Avalanche,26.7,48,16,25,7,39,0.406,114,150,2,2,-0.73,0.02,5.5,90,111,21,140,15,36,183,80.33,3,3,12.5,9.8,1415,8.1,1508,0.901,3
12-13,Columbus Blue Jackets,26.3,48,24,17,7,55,0.573,115,115,5,4,0.03,0.01,4.79,90,88,22,155,14.19,25,144,82.64,3,2,12.6,12.8,1283,9,1436,0.92,4
12-13,Dallas Stars,28.2,48,22,22,4,48,0.5,128,141,2,1,-0.21,0.05,5.6,97,104,29,171,16.96,34,179,81.01,2,3,13,13,1261,10.2,1489,0.905,1
12-13,Detroit Red Wings*,28.2,48,24,16,8,56,0.583,122,110,2,5,0.2,0.01,4.83,85,75,34,185,18.38,30,164,81.71,3,5,9.8,11.5,1447,8.4,1322,0.917,5
12-13,Edmonton Oilers,26.4,48,19,22,7,45,0.469,123,131,2,3,-0.22,-0.03,5.29,85,101,34,169,20.12,29,175,83.43,4,1,10.8,11.4,1285,9.6,1572,0.917,3
12-13,Florida Panthers,27.8,48,15,27,6,36,0.375,109,170,3,1,-1.18,0.05,5.81,76,130,29,142,20.42,39,151,74.17,4,1,11.3,10.2,1400,7.8,1504,0.887,0
12-13,Los Angeles Kings*,26.5,48,27,16,5,59,0.615,131,114,2,4,0.29,-0.02,5.1,96,86,33,166,19.88,27,161,83.23,2,1,10,10.6,1431,9.2,1198,0.905,2
12-13,Minnesota Wild*,27.8,48,26,19,3,55,0.573,118,125,4,2,-0.16,-0.05,5.06,90,99,27,151,17.88,26,135,80.74,1,0,11.4,11.8,1382,8.5,1299,0.904,3
12-13,Montreal Canadiens*,27.8,48,29,14,5,63,0.656,146,124,3,2,0.46,-0.02,5.63,104,87,42,203,20.69,35,173,79.77,0,2,13.3,14.9,1468,9.9,1293,0.904,4
12-13,Nashville Predators,27.3,48,16,23,9,41,0.427,109,133,2,6,-0.5,0.09,5.04,84,95,24,140,17.14,34,139,75.54,1,4,9.8,10.1,1244,8.8,1335,0.9,5
12-13,New Jersey Devils,30.8,48,19,19,10,48,0.5,110,122,2,7,-0.31,0.04,4.83,71,84,28,176,15.91,32,169,81.07,11,6,10.6,11.5,1362,8.1,1110,0.89,3
12-13,New York Islanders*,28.7,48,24,17,7,55,0.573,135,136,4,3,0.03,0.03,5.65,102,108,31,156,19.87,28,142,80.28,2,0,9.6,10.3,1485,9.1,1352,0.899,3
12-13,New York Rangers*,27.2,48,26,18,4,56,0.583,126,108,4,4,0.38,0,4.88,97,76,24,153,15.69,28,148,81.08,5,4,9.3,10.1,1483,8.5,1353,0.92,2
12-13,Ottawa Senators*,27.4,48,25,17,6,56,0.583,112,100,4,4,0.27,0.02,4.42,85,79,25,157,15.92,20,167,88.02,2,1,13.6,13.8,1591,7,1502,0.933,4
12-13,Philadelphia Flyers,27.9,48,23,22,3,49,0.51,132,139,1,2,-0.14,0.03,5.65,93,110,37,171,21.64,26,184,85.87,2,3,15.7,15.6,1394,9.5,1371,0.899,1
12-13,Phoenix Coyotes,28.4,48,21,18,9,51,0.531,121,125,4,6,-0.1,0.03,5.13,94,89,25,169,14.79,34,169,79.88,2,2,10.5,10.1,1482,8.2,1467,0.915,6
12-13,Pittsburgh Penguins*,29,48,36,12,0,72,0.75,162,119,3,0,0.91,-0.05,5.85,118,82,42,170,24.71,34,167,79.64,2,3,11.7,12.1,1438,11.3,1403,0.915,5
12-13,San Jose Sharks*,28.9,48,25,16,7,57,0.594,116,112,8,4,0.17,0.01,4.75,79,86,34,169,20.12,22,147,85.03,3,4,10.9,11.2,1526,7.6,1390,0.919,5
12-13,St. Louis Blues*,26.3,48,29,17,2,60,0.625,124,114,5,1,0.31,0.02,4.96,92,86,29,149,19.46,23,150,84.67,3,5,11.1,11.3,1336,9.3,1161,0.902,7
12-13,Tampa Bay Lightning,27.7,48,18,26,4,40,0.417,147,147,1,3,-0.11,-0.07,6.13,116,113,31,163,19.02,30,155,80.65,0,4,12,13,1323,11.1,1451,0.899,1
12-13,Toronto Maple Leafs*,26,48,26,17,5,57,0.594,145,128,0,5,0.27,0.02,5.69,113,105,31,166,18.67,19,157,87.9,1,4,16.1,15.2,1264,11.5,1549,0.917,6
12-13,Vancouver Canucks*,28.2,48,26,15,7,59,0.615,122,115,5,6,0.07,-0.06,4.94,94,85,26,165,15.76,27,169,84.02,2,3,12.7,13.1,1350,9,1389,0.917,7
12-13,Washington Capitals*,26.6,48,27,18,3,57,0.594,146,130,3,0,0.31,-0.09,5.75,99,90,44,164,26.83,36,163,77.91,3,4,10.8,11.5,1350,10.8,1551,0.916,4
12-13,Winnipeg Jets,26.4,48,24,21,3,51,0.531,126,141,2,3,-0.36,-0.03,5.56,105,110,20,145,13.79,28,138,79.71,1,3,11.1,10.5,1389,9.1,1424,0.901,1
11-12,Anaheim Ducks,28.5,82,34,36,12,80,0.488,201,224,3,7,-0.29,0.04,5.18,152,168,45,271,16.61,51,283,81.98,4,5,12,11.2,2291,8.8,2367,0.905,4
11-12,Boston Bruins*,28.8,82,49,29,4,102,0.622,260,199,9,3,0.75,-0.07,5.6,209,155,43,250,17.2,43,260,83.46,8,1,13.5,11.9,2653,9.8,2441,0.918,8
11-12,Buffalo Sabres,27,82,39,32,11,89,0.543,211,223,7,7,-0.15,0,5.29,162,169,44,258,17.05,47,257,81.71,5,7,11,12,2397,8.8,2571,0.913,7
11-12,Calgary Flames,29.6,82,37,29,16,90,0.549,199,217,3,9,-0.28,0.01,5.07,150,169,46,260,17.69,42,268,84.33,3,6,10.8,10.5,2258,8.8,2528,0.914,4
11-12,Carolina Hurricanes,26.5,82,33,33,16,82,0.5,212,237,1,6,-0.39,-0.02,5.48,151,184,49,294,16.67,49,252,80.56,12,4,9.3,10.9,2497,8.5,2653,0.911,6
11-12,Chicago Blackhawks*,27,82,45,26,11,101,0.616,241,231,7,7,0.14,0.02,5.76,192,177,42,277,15.16,51,233,78.11,7,3,10.3,11.3,2583,9.3,2343,0.901,0
11-12,Colorado Avalanche,25.9,82,41,35,6,88,0.537,199,218,9,2,-0.13,0.01,5.09,153,167,41,223,18.39,47,277,83.03,5,4,11,9.5,2583,7.7,2426,0.91,6
11-12,Columbus Blue Jackets,26.7,82,29,46,7,65,0.396,198,257,4,5,-0.65,0.08,5.55,142,185,49,317,15.46,64,274,76.64,7,8,12.6,14.1,2454,8.1,2537,0.899,2
11-12,Dallas Stars,28.4,82,42,35,5,89,0.543,204,218,7,4,-0.1,0.03,5.15,166,163,33,244,13.52,52,303,82.84,5,3,12.6,10.9,2314,8.8,2527,0.914,5
11-12,Detroit Red Wings*,30,82,48,28,6,102,0.622,239,200,9,3,0.55,0,5.35,189,139,48,298,16.11,50,274,81.75,2,11,8.5,10.4,2638,9.1,2212,0.91,7
11-12,Edmonton Oilers,27.4,82,32,40,10,74,0.451,207,232,5,7,-0.32,0.01,5.35,148,172,54,262,20.61,52,296,82.43,5,8,11.5,10,2186,9.5,2518,0.908,4
11-12,Florida Panthers*,29,82,38,26,18,94,0.573,197,216,6,11,-0.33,-0.03,5.04,140,161,53,286,18.53,49,239,79.5,4,6,9.7,10.9,2433,8.1,2505,0.914,4
11-12,Los Angeles Kings*,26.7,82,40,27,15,95,0.579,188,170,6,9,0.19,0.01,4.37,130,130,49,289,16.96,38,293,87.03,9,2,11.3,11.1,2509,7.5,2248,0.924,11
11-12,Minnesota Wild,27.4,82,35,36,11,81,0.494,166,217,11,9,-0.58,0.02,4.67,122,162,39,258,15.12,51,285,82.11,5,4,12.1,12.3,2174,7.6,2570,0.916,6
11-12,Montreal Canadiens,26.8,82,31,35,16,78,0.476,207,214,5,12,-0.17,0,5.13,154,170,43,301,14.29,36,315,88.57,10,8,11.6,11.9,2340,8.8,2432,0.912,4
11-12,Nashville Predators*,26.8,82,48,26,8,104,0.634,232,205,5,5,0.34,0.01,5.33,173,161,54,250,21.6,40,244,83.61,5,4,8.4,8.3,2261,10.3,2522,0.919,5
11-12,New Jersey Devils*,30.1,82,48,28,6,102,0.622,216,205,12,4,0.23,0,5.13,155,165,46,267,17.23,27,259,89.58,15,13,11.5,10.7,2253,9.6,2199,0.907,7
11-12,New York Islanders,27.8,82,34,37,11,79,0.482,196,251,7,4,-0.58,0.05,5.45,147,200,45,243,18.52,46,236,80.51,4,5,9.3,9,2410,8.1,2469,0.898,3
11-12,New York Rangers*,26.5,82,51,24,7,109,0.665,222,182,4,5,0.46,-0.02,4.93,170,142,44,280,15.71,36,260,86.15,8,4,12.9,14.5,2338,9.5,2281,0.92,10
11-12,Ottawa Senators*,27.8,82,41,31,10,92,0.561,243,236,6,4,0.09,-0.02,5.84,185,172,49,270,18.15,57,310,81.61,9,7,14,12.2,2574,9.4,2627,0.91,4
11-12,Philadelphia Flyers*,27.3,82,47,26,9,103,0.628,260,225,4,7,0.39,0,5.91,188,158,66,335,19.7,58,319,81.82,6,9,16.1,16.4,2641,9.8,2329,0.903,6
11-12,Phoenix Coyotes*,28.9,82,42,27,13,97,0.591,210,194,6,10,0.16,0.01,4.93,170,152,34,251,13.55,36,249,85.54,6,6,9.2,9.6,2428,8.6,2592,0.925,8
11-12,Pittsburgh Penguins*,28.5,82,51,25,6,108,0.659,273,218,9,3,0.71,-0.03,5.99,205,175,57,289,19.72,33,270,87.78,11,10,10.7,12.3,2779,9.8,2247,0.903,3
11-12,San Jose Sharks*,28.1,82,43,29,10,96,0.585,219,205,9,5,0.22,0,5.17,159,149,57,270,21.11,52,225,76.89,3,4,9.6,11.2,2773,7.9,2342,0.912,6
11-12,St. Louis Blues*,26.5,82,49,22,11,109,0.665,206,155,4,10,0.54,-0.01,4.4,154,112,45,269,16.73,40,282,85.82,7,3,13,12.1,2511,8.2,2190,0.929,15
11-12,Tampa Bay Lightning,29.5,82,38,36,8,84,0.512,232,278,3,3,-0.57,-0.01,6.22,189,207,41,269,15.24,59,284,79.23,2,12,10.5,10.2,2227,10.4,2501,0.889,2
11-12,Toronto Maple Leafs,25.9,82,35,37,10,80,0.488,227,259,4,5,-0.38,0.02,5.93,173,198,49,267,18.35,55,242,77.27,5,6,10,10.4,2322,9.8,2528,0.898,7
11-12,Vancouver Canucks*,28.5,82,51,22,9,111,0.677,241,191,8,7,0.57,-0.05,5.27,177,147,57,288,19.79,40,286,86.01,7,4,12.8,12.4,2583,9.3,2526,0.924,9
11-12,Washington Capitals*,27.6,82,42,32,8,92,0.561,218,226,4,4,-0.13,-0.03,5.41,174,167,41,245,16.73,49,266,81.58,3,10,9.4,8.3,2295,9.5,2475,0.909,8
11-12,Winnipeg Jets,26.2,82,37,35,10,84,0.512,221,242,4,4,-0.3,-0.04,5.65,173,176,45,251,17.93,58,292,80.14,3,8,11,9.7,2471,8.9,2470,0.902,6
10-11,Anaheim Ducks*,28.9,82,47,30,5,99,0.604,235,233,4,2,0.09,0.05,5.71,161,169,67,285,23.51,57,305,81.31,7,7,14.4,13.4,2334,10.1,2648,0.912,7
10-11,Atlanta Thrashers,26.1,82,34,36,12,80,0.488,218,262,5,7,-0.57,-0.01,5.85,159,189,53,289,18.34,64,285,77.54,6,10,11.3,10.7,2581,8.4,2638,0.901,5
10-11,Boston Bruins*,28.3,82,46,25,11,103,0.628,244,189,2,6,0.56,-0.07,5.28,190,138,43,266,16.17,46,265,82.64,11,5,13.6,13.8,2696,9.1,2682,0.93,11
10-11,Buffalo Sabres*,27.5,82,43,29,10,96,0.585,240,228,5,1,0.15,-0.04,5.71,184,164,54,279,19.35,51,300,83,2,13,11.7,11.4,2690,8.9,2514,0.909,6
10-11,Calgary Flames,30,82,41,29,12,94,0.573,241,230,9,7,0.14,-0.02,5.74,172,168,62,318,19.5,53,282,81.21,7,9,10.2,11.2,2501,9.6,2338,0.902,6
10-11,Carolina Hurricanes,26.6,82,40,31,11,91,0.555,231,234,5,5,-0.08,-0.04,5.67,169,177,55,346,15.9,51,272,81.25,7,6,10.2,12.8,2517,9.2,2725,0.914,4
10-11,Chicago Blackhawks*,26.7,82,44,29,9,97,0.591,252,220,6,5,0.41,0.01,5.76,182,163,64,277,23.1,53,255,79.22,6,4,9,9.5,2637,9.6,2354,0.907,5
10-11,Colorado Avalanche,25.9,82,30,44,8,68,0.415,221,287,6,1,-0.7,0.05,6.2,164,201,49,265,18.49,75,314,76.11,8,11,13.1,11.6,2394,9.2,2609,0.89,1
10-11,Columbus Blue Jackets,26.8,82,34,35,13,81,0.494,210,250,5,8,-0.45,0.08,5.61,162,177,42,301,13.95,62,314,80.25,6,11,13.6,13.8,2506,8.4,2447,0.898,6
10-11,Dallas Stars,28,82,42,29,11,95,0.579,222,226,5,7,-0.02,0.05,5.46,157,156,55,306,17.97,55,277,80.14,10,15,13,13.8,2269,9.8,2504,0.91,5
10-11,Detroit Red Wings*,30.7,82,47,25,10,104,0.634,257,237,4,4,0.27,0.03,6.02,185,177,67,301,22.26,53,300,82.33,5,7,9.1,9.5,2757,9.3,2514,0.906,3
10-11,Edmonton Oilers,26.2,82,25,45,12,62,0.378,191,260,2,9,-0.87,0.06,5.5,139,184,44,304,14.47,74,321,76.95,8,2,15.5,14.5,2188,8.7,2597,0.9,4
10-11,Florida Panthers,28.3,82,30,40,12,72,0.439,191,222,4,7,-0.43,-0.01,5.04,152,176,35,267,13.11,41,267,84.64,4,5,8.7,9.1,2493,7.7,2609,0.915,7
10-11,Los Angeles Kings*,26.3,82,46,30,6,98,0.598,209,196,10,2,0.29,0.03,4.94,158,150,47,291,16.15,40,276,85.51,4,6,11.7,11.8,2363,8.8,2288,0.914,9
10-11,Minnesota Wild,28.9,82,39,35,8,86,0.524,203,228,3,5,-0.3,0.03,5.26,143,168,53,292,18.15,53,309,82.85,7,7,12,12.1,2148,9.5,2625,0.913,5
10-11,Montreal Canadiens*,27.6,82,44,30,8,96,0.585,213,206,3,3,0.05,-0.04,5.11,151,149,57,290,19.66,51,327,84.4,5,6,13.3,12.9,2602,8.2,2537,0.919,8
10-11,Nashville Predators*,26.7,82,44,27,11,99,0.604,213,190,6,4,0.31,0.01,4.91,167,147,41,269,15.24,41,272,84.93,5,2,8.8,8.5,2361,9,2510,0.924,8
10-11,New Jersey Devils,29.9,82,38,39,5,81,0.494,171,207,3,2,-0.41,0.02,4.61,134,159,34,237,14.35,40,241,83.4,3,8,9.3,9.6,2344,7.3,2152,0.904,9
10-11,New York Islanders,26.2,82,30,39,13,73,0.445,225,258,4,6,-0.42,0.01,5.89,158,199,52,302,17.22,52,310,83.23,15,7,18.5,16.2,2408,9.3,2620,0.902,2
10-11,New York Rangers*,26.2,82,44,33,5,93,0.567,224,195,9,3,0.37,-0.06,5.11,164,148,49,290,16.9,42,257,83.66,11,5,13.1,14.6,2453,9.1,2410,0.919,11
10-11,Ottawa Senators,28.1,82,32,40,10,74,0.451,190,245,2,5,-0.69,0.02,5.3,139,193,45,257,17.51,48,295,83.73,6,4,14,11.8,2381,8,2559,0.904,5
10-11,Philadelphia Flyers*,27.6,82,47,23,12,106,0.646,256,216,3,7,0.4,-0.04,5.76,194,157,49,295,16.61,54,313,82.75,13,5,13.6,13.3,2605,9.8,2471,0.913,0
10-11,Phoenix Coyotes*,29,82,43,26,13,99,0.604,226,220,5,6,0.11,0.05,5.44,175,150,46,289,15.92,64,296,78.38,5,6,10.5,10.1,2486,9.1,2673,0.918,9
10-11,Pittsburgh Penguins*,27.4,82,49,25,8,106,0.646,228,196,10,3,0.43,-0.05,5.17,166,145,49,311,15.76,45,324,86.11,13,6,16.9,16.5,2581,8.8,2352,0.917,5
10-11,San Jose Sharks*,27.9,82,48,25,9,105,0.64,243,208,5,5,0.44,0.02,5.5,169,145,68,290,23.45,56,273,79.49,6,7,11.3,12,2832,8.6,2368,0.912,6
10-11,St. Louis Blues,25.7,82,38,33,11,87,0.53,236,228,4,6,0.11,0.04,5.66,177,176,52,279,18.64,51,279,81.72,7,1,14.9,15.5,2475,9.5,2274,0.9,10
10-11,Tampa Bay Lightning*,29,82,46,25,11,103,0.628,241,234,6,6,0.04,-0.05,5.79,171,169,69,336,20.54,49,302,83.77,1,16,11,11.6,2605,9.3,2354,0.901,7
10-11,Toronto Maple Leafs,25.7,82,37,34,11,85,0.518,213,245,5,6,-0.41,0,5.59,156,175,52,326,15.95,62,275,77.45,5,8,12,13.7,2360,9,2540,0.904,3
