Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60
Anaheim Ducks,18-19,82,80,0.488,196,248,16.98,79.7,8.6,0.909,4075.73,2.09,2.38,27.58,31.59,39.75,45.56,53.32,60.47,2.26,2.77
Arizona Coyotes,18-19,82,86,0.524,209,220,16.28,84.96,8.3,0.913,4078.72,2.05,2.41,29.99,30.49,41.65,42.98,56.24,58.93,2.35,2.41
Boston Bruins*,18-19,82,107,0.652,257,212,25.9,79.92,9.6,0.912,4125.25,2.47,1.94,32.21,27.61,44.66,38.16,58.47,50.91,2.45,2.17
Buffalo Sabres,18-19,82,76,0.463,221,268,19.49,80.93,8.2,0.901,4142.15,2.28,2.86,31.5,32.97,42.96,44.22,55.26,56.75,2.24,2.5
Calgary Flames*,18-19,82,107,0.652,289,223,19.27,79.67,10.9,0.903,4009.82,2.88,2.35,31.91,27.8,44.75,39.15,60.7,51.73,2.67,2.34
Carolina Hurricanes*,18-19,82,99,0.604,243,221,17.81,81.59,8.6,0.906,4079.05,2.48,2.32,34.04,27.89,48.95,39.69,64.94,52.46,3.07,2.43
Chicago Blackhawks,18-19,82,84,0.512,267,291,20.17,72.73,10,0.898,4131.67,2.81,2.85,31.71,33.98,41.65,44.77,56.83,58.95,2.38,2.84
Colorado Avalanche*,18-19,82,90,0.549,258,244,22.03,78.68,9.6,0.907,3952.47,2.44,2.44,31.96,30.8,42.62,41.95,57.62,57.6,2.36,2.37
Columbus Blue Jackets*,18-19,82,98,0.598,256,231,15.38,85,9.9,0.904,4172.55,2.79,2.57,31.38,29.52,43.02,40.62,55.38,54.13,2.54,2.4
Dallas Stars*,18-19,82,93,0.567,209,200,21.03,82.77,8.3,0.923,4124.15,2.12,2.03,29.68,30.5,39.8,42.07,54.17,57.53,2.4,2.32
Detroit Red Wings,18-19,82,74,0.451,224,272,18.06,77.14,9.4,0.901,4150.83,2.26,2.68,28.08,33.05,38.8,45.31,51.99,58.96,2.24,2.73
Edmonton Oilers,18-19,82,79,0.482,229,271,21.17,74.8,9.6,0.896,4138.8,2.25,2.72,28.29,31.42,38.89,43,52.34,57.54,2.32,2.61
Florida Panthers,18-19,82,86,0.524,264,273,26.77,81.3,9.8,0.891,4108.18,2.48,2.86,31.11,30.59,42.11,42.23,54.75,56.3,2.33,2.56
Los Angeles Kings,18-19,82,71,0.433,199,259,15.84,76.52,8.4,0.9,4159.4,2.11,2.52,27.41,30.89,38.97,44.19,52.49,58.86,2.24,2.49
Minnesota Wild,18-19,82,83,0.506,210,233,20.33,81.67,8.2,0.904,4077.03,2.12,2.4,30.95,28.41,42.73,40.72,56.8,55.97,2.35,2.03
Montreal Canadiens,18-19,82,96,0.585,246,236,13.25,80.91,8.8,0.907,4078.15,2.84,2.57,34.8,30.32,47.44,41.08,65.78,55.35,2.68,2.34
Nashville Predators*,18-19,82,100,0.61,236,212,12.94,82.07,8.8,0.914,4015.85,2.57,2.19,32.63,29.84,44.99,40.95,59.61,54.42,2.51,2.43
New Jersey Devils,18-19,82,72,0.439,219,271,17.72,84.31,8.8,0.895,4034.38,2.23,2.88,29.21,32.16,39.65,45.19,50.88,59.56,2.3,2.47
New York Islanders*,18-19,82,103,0.628,223,191,14.54,79.91,9.4,0.925,4154.03,2.42,1.9,28.3,29.32,38.99,40.86,52.94,56.06,2.41,2.28
New York Rangers,18-19,82,78,0.476,221,267,19.38,78.2,9.2,0.904,4096.52,2.23,2.67,27.96,32.83,38.27,45.64,50.35,60.92,2.41,2.72
Ottawa Senators,18-19,82,64,0.39,242,301,20.35,79.17,10,0.897,4140.42,2.56,3.28,28.45,35.32,39.29,48.63,52.05,66.26,2.32,2.71
Philadelphia Flyers,18-19,82,82,0.5,241,280,17.09,78.48,9.3,0.895,4074.53,2.54,2.96,29.52,32.7,40.77,44.11,54.8,60.57,2.39,2.54
Pittsburgh Penguins*,18-19,82,100,0.61,271,238,24.56,79.73,9.9,0.913,4148.17,2.73,2.28,33.25,31.89,44.85,43.08,59.54,57.75,2.7,2.46
San Jose Sharks*,18-19,82,101,0.616,289,258,23.65,80.77,10.7,0.889,4107.57,2.97,2.8,32.26,26.97,45.77,37.7,62.46,50.92,2.74,2.35
St. Louis Blues*,18-19,82,99,0.604,244,220,21.1,81.47,9.4,0.906,4115.23,2.58,2.23,31.26,27.6,42.49,38.11,56.75,51.9,2.62,2.21
Tampa Bay Lightning*,18-19,82,128,0.78,319,221,28.24,85.02,12.2,0.916,4040.47,3.24,2.47,32.83,30.37,45.08,41.16,59.93,53.98,2.61,2.3
Toronto Maple Leafs*,18-19,82,100,0.61,286,249,21.8,79.9,10.5,0.908,4160.55,3.13,2.57,32.33,32.98,47.3,46.55,65.11,59.86,2.82,2.63
Vancouver Canucks,18-19,82,81,0.494,219,248,17.13,81.1,9,0.905,4090.13,2.23,2.68,28.22,31.99,39.9,43.93,53.4,59.19,2.18,2.56
Vegas Golden Knights*,18-19,82,93,0.567,246,228,16.81,80.87,8.7,0.905,4093.53,2.62,2.42,33.7,28.42,46.35,38.36,63.24,51.96,2.83,2.28
Washington Capitals*,18-19,82,104,0.634,274,248,20.76,78.93,11,0.904,4043.02,3.01,2.41,30.16,30.73,43,43.5,57.71,57.97,2.45,2.7
Winnipeg Jets*,18-19,82,99,0.604,270,243,24.8,79.2,10.6,0.911,4061.98,2.64,2.48,30.74,32.15,42.27,43.86,56.54,58.1,2.35,2.55
Anaheim Ducks*,17-18,82,101,0.616,231,209,17.76,83.21,9.3,0.923,4078,2.43,2.09,29.81,30.78,42.27,43.85,56.18,58,2.49,2.59
Arizona Coyotes,17-18,82,70,0.427,206,251,16.87,79.46,8.4,0.905,4162.87,2.16,2.48,28.39,31.7,40.33,46.51,55.8,61.33,2.21,2.55
Boston Bruins*,17-18,82,112,0.683,267,211,23.64,83.67,9.9,0.912,4082.03,2.57,2.15,31.98,27.5,44.76,38.48,59.58,51.07,2.5,2.13
Buffalo Sabres,17-18,82,62,0.378,198,278,19.07,77.87,7.7,0.896,4036.23,1.84,2.78,28.98,32.7,38.73,44.66,50.04,58.03,1.97,2.36
Calgary Flames,17-18,82,84,0.512,216,243,15.99,81.78,7.8,0.905,4025.05,2.34,2.52,32.98,30.06,47.86,42.51,63.71,56.31,2.66,2.45
Carolina Hurricanes,17-18,82,83,0.506,225,253,18.41,77.49,8.1,0.893,4196.48,2.34,2.7,32.61,28.74,45.91,40.19,62.62,52.3,2.61,2.35
Chicago Blackhawks,17-18,82,76,0.463,228,254,15.99,79.24,8.2,0.906,4037.48,2.45,2.67,33.42,32.61,44.69,43.57,63.49,58.63,2.58,2.66
Colorado Avalanche*,17-18,82,95,0.579,255,236,21.96,83.27,10.5,0.914,3924.58,2.44,2.39,29.14,32.27,40.05,44.53,55.17,59.94,2.09,2.38
Columbus Blue Jackets*,17-18,82,97,0.591,236,226,17.18,76.17,8.5,0.912,4189.7,2.58,2.23,33.34,30.37,45.72,41.18,59.56,55.86,2.68,2.52
Dallas Stars,17-18,82,92,0.561,231,222,19.26,80.78,9,0.909,4032.67,2.38,2.1,29.79,28.25,41.27,39.23,57.07,54.61,2.45,2.12
Detroit Red Wings,17-18,82,73,0.445,212,254,17.52,77.61,8.5,0.903,4102.82,2.23,2.59,29.42,31.2,41.12,42.48,53.34,56.48,2.31,2.46
Edmonton Oilers,17-18,82,78,0.476,229,262,14.76,76.73,8.4,0.901,4156.3,2.49,2.62,31.98,32.09,44.47,43.59,58.89,59.32,2.73,2.66
Florida Panthers,17-18,82,96,0.585,245,243,18.88,80.18,8.7,0.914,4078.23,2.53,2.55,32.94,33.19,44.95,44.67,57.56,59,2.41,2.56
Los Angeles Kings*,17-18,82,98,0.598,237,202,20.42,85,9.3,0.92,4078.93,2.41,2.15,29.55,29.67,41.46,42.14,55.73,56.15,2.25,2.45
Minnesota Wild*,17-18,82,101,0.616,250,229,20.42,81.25,10.1,0.911,4069.57,2.45,2.26,29.78,29.77,39.63,42.03,52.42,57.31,2.28,2.02
Montreal Canadiens,17-18,82,71,0.433,207,258,21.31,74.14,7.7,0.903,4070.73,1.99,2.48,31.26,31.33,42.34,42.88,58.72,59.37,2.51,2.43
Nashville Predators*,17-18,82,117,0.713,261,204,21.17,81.94,9.9,0.923,4010.1,2.66,1.99,32.27,30.5,45.08,41.13,60.88,55,2.51,2.39
New Jersey Devils*,17-18,82,97,0.591,243,240,21.43,81.78,9.3,0.908,4064.3,2.47,2.57,30.88,30.9,42.22,43.87,54.56,57.69,2.46,2.45
New York Islanders,17-18,82,80,0.488,261,293,23.2,73.19,10.1,0.9,4114.33,2.68,2.93,29.97,34.45,40.77,46.94,55.5,62.46,2.44,2.77
New York Rangers,17-18,82,77,0.47,228,263,21.16,81.38,9,0.909,4099.4,2.28,2.74,29.49,35.41,39.93,47.89,52.2,63.45,2.55,2.85
Ottawa Senators,17-18,82,67,0.409,219,284,16.53,76.17,8.7,0.895,4096.63,2.33,3.01,29.23,32.96,40.37,45.7,54.29,62.99,2.18,2.56
Philadelphia Flyers*,17-18,82,98,0.598,249,236,20.69,75.78,9.5,0.904,4136.07,2.44,2.28,30.25,29.25,41.3,41.44,54.93,56.15,2.37,2.37
Pittsburgh Penguins*,17-18,82,100,0.61,270,248,26.15,80,9.6,0.903,4056.28,2.58,2.68,34.02,30.17,46.07,40.96,60.36,55.42,2.73,2.47
San Jose Sharks*,17-18,82,100,0.61,247,226,20.62,84.82,9.1,0.909,4134.65,2.37,2.54,31.26,29.15,44.33,40.91,60.86,57.81,2.55,2.4
St. Louis Blues,17-18,82,94,0.573,223,222,15.45,79.65,8.3,0.909,4093.05,2.42,2.19,31.9,29.05,43.95,39.07,59.07,54.77,2.33,2.14
Tampa Bay Lightning*,17-18,82,113,0.689,290,234,23.91,76.03,10.8,0.913,4019.83,3.1,2.33,32.78,31.31,45.63,41.6,60.64,54.71,2.56,2.2
Toronto Maple Leafs*,17-18,82,105,0.64,270,230,25,81.39,10.2,0.917,4147.93,2.78,2.38,31.18,32.58,43.87,45.32,59.74,58.38,2.67,2.59
Vancouver Canucks,17-18,82,73,0.445,218,259,21.46,78.26,8.8,0.902,4078.33,2.12,2.54,28.72,31.93,39.46,44.19,52.07,58.51,2.15,2.52
Vegas Golden Knights*,17-18,82,109,0.665,268,225,21.37,81.43,10,0.911,4106.98,2.73,2.37,31.97,29.74,44.25,41.62,59.6,55.46,2.47,2.38
Washington Capitals*,17-18,82,105,0.64,256,238,22.54,80.3,10.8,0.909,4055.08,2.63,2.37,28.08,30.54,40.38,44.28,54.88,58.61,2.36,2.62
Winnipeg Jets*,17-18,82,114,0.695,273,216,23.36,81.75,10.3,0.917,4028.73,2.76,2.28,32.11,29.41,44.68,40.52,59.89,54.32,2.54,2.23
Anaheim Ducks*,16-17,82,105,0.64,220,197,18.73,84.7,9.1,0.919,3995.45,2.3,2.12,29,28.2,41.01,40.64,54.2,54.48,2.49,2.27
Arizona Coyotes,16-17,82,70,0.427,191,258,16.17,77.31,8.4,0.908,4109.98,2.03,2.57,27.42,33.64,38.67,48.35,51.45,62.79,2.02,2.8
Boston Bruins*,16-17,82,95,0.579,232,209,21.72,85.71,8.5,0.905,4030.5,2.26,2.31,32.41,26.17,45.4,36.7,60.04,49.74,2.43,2.01
Buffalo Sabres,16-17,82,78,0.476,199,231,24.46,77.64,8,0.918,4129.33,1.9,2.37,29.35,32.68,39.94,44.38,52.02,57.83,2.11,2.32
Calgary Flames*,16-17,82,94,0.573,222,219,20.16,81.59,9.3,0.907,3992.88,2.28,2.24,28.6,27.87,39.36,39.22,53.72,52.71,2.19,2.3
Carolina Hurricanes,16-17,82,87,0.53,212,230,17.75,84.16,8.5,0.901,4186.9,2.15,2.58,29.22,28.86,41.31,40.71,56.25,53.72,2.52,2.45
Chicago Blackhawks*,16-17,82,109,0.665,240,212,18.03,77.73,9.6,0.918,4163,2.52,2.12,29.95,30.44,40.21,40.41,55.79,55.04,2.39,2.44
Colorado Avalanche,16-17,82,48,0.293,165,276,12.55,76.64,7.2,0.894,4021.22,1.82,2.91,27.62,31.62,38.64,42.49,52.43,55.54,1.9,2.32
Columbus Blue Jackets*,16-17,82,108,0.659,247,193,19.91,82.51,9.7,0.922,4136.38,2.65,2,31.22,29.39,41.95,40.75,56.06,54.83,2.54,2.43
Dallas Stars,16-17,82,79,0.482,222,260,17.9,73.9,8.9,0.893,4072.17,2.27,2.49,29.76,29.09,42.43,41.71,58.04,58.02,2.48,2.59
Detroit Red Wings,16-17,82,79,0.482,198,244,15.08,80.85,8.5,0.903,4133.75,2.18,2.57,27.81,29.7,38.59,41.29,50.26,53.81,2.2,2.41
Edmonton Oilers*,16-17,82,103,0.628,243,207,22.86,80.72,9.5,0.914,4124.55,2.49,2.11,30.08,28.63,41.12,39.26,54.94,54.57,2.59,2.44
Florida Panthers,16-17,82,81,0.494,205,231,16.98,85.31,7.8,0.911,4063.42,2.08,2.54,30.43,31.38,41.68,41.42,53.94,52.86,2.18,2.39
Los Angeles Kings,16-17,82,86,0.524,199,201,19.09,84.49,7.8,0.905,4080.72,2.04,2.1,30.6,25.38,44.14,36.49,59.83,49.17,2.46,2.16
Minnesota Wild*,16-17,82,106,0.646,263,206,20.98,82.95,10.4,0.916,4151.47,2.76,2.27,30.24,29.6,41.19,41.22,54.1,55.4,2.41,1.91
Montreal Canadiens*,16-17,82,103,0.628,223,198,19.57,81.12,9.1,0.918,4145.78,2.37,1.98,30.62,28.83,42.53,38.73,58.8,53.3,2.46,2.22
Nashville Predators*,16-17,82,94,0.573,238,220,18.92,80.91,9.3,0.911,4082.63,2.42,2.2,30.94,29.38,42.68,41.31,57.54,54.89,2.32,2.17
New Jersey Devils,16-17,82,70,0.427,180,241,17.53,79.69,7.9,0.906,4065.75,1.8,2.33,27.39,30.62,37.72,41.5,48.67,53.89,2.14,2.38
New York Islanders,16-17,82,94,0.573,239,238,14.96,82.38,9.6,0.909,4135.13,2.7,2.58,29.8,31.14,40.45,43.96,54.89,60.26,2.49,2.66
New York Rangers*,16-17,82,102,0.622,253,216,20.26,79.91,10.4,0.912,4132.43,2.57,2.27,28.52,29.85,40.12,41.76,52.86,57.02,2.45,2.51
Ottawa Senators*,16-17,82,98,0.598,206,210,16.93,79.76,8.4,0.915,4091.72,2.05,2.2,29.56,29.39,40.15,41.92,54.8,58,2.22,2.31
Philadelphia Flyers,16-17,82,88,0.537,212,231,19.49,79.76,8.2,0.901,4062.02,2.01,2.33,29.56,28.17,41.51,38.94,57.71,54.86,2.3,2.3
Pittsburgh Penguins*,16-17,82,111,0.677,278,229,23.08,79.77,10.1,0.914,4098.28,2.88,2.34,32.96,31.37,43.6,41.87,57.7,57.76,2.82,2.57
San Jose Sharks*,16-17,82,99,0.604,219,200,16.67,80.66,8.9,0.912,4089.43,2.32,2.07,28.93,26.82,42.02,38.68,58,55.24,2.46,2.26
St. Louis Blues*,16-17,82,99,0.604,233,216,21.28,84.79,10,0.907,4052.95,2.38,2.21,28.11,27.62,38.92,38.22,52.12,51.83,2.13,2.08
Tampa Bay Lightning,16-17,82,94,0.573,230,224,22.79,81.4,9.4,0.91,4038.37,2.21,2.27,29.08,29.43,41.42,40.4,55.11,52.34,2.25,2.16
Toronto Maple Leafs*,16-17,82,95,0.579,250,234,23.36,82.47,9.6,0.912,4098.17,2.59,2.47,30.83,31.52,44.68,44.92,59.79,58.56,2.77,2.64
Vancouver Canucks,16-17,82,69,0.421,178,241,14.1,76.68,7.8,0.907,4124.9,1.93,2.4,27.19,31.03,37.06,42.12,50.49,54.81,2.07,2.48
Washington Capitals*,16-17,82,118,0.72,261,177,22.98,83.82,10.5,0.922,4035.78,2.74,1.78,29.73,27.64,41.3,39.22,55.89,52.14,2.35,2.28
Winnipeg Jets,16-17,82,87,0.53,246,255,18.18,77.45,10,0.9,4002.37,2.52,2.53,28.68,30.01,39.4,40.4,52.29,53.98,2.41,2.3
Anaheim Ducks*,15-16,82,103,0.628,215,188,22.86,87.24,8.7,0.917,4010.23,2.03,2.08,29.56,26.57,42.36,37.37,56.3,51.09,2.38,2.1
Arizona Coyotes,15-16,82,78,0.476,208,244,17.67,77.3,9.2,0.904,3886.93,2.11,2.28,26.83,30.72,38.02,44.21,51.4,58.35,2.01,2.31
Boston Bruins,15-16,82,93,0.567,236,228,20.51,82.22,9,0.908,4067.43,2.42,2.35,31.21,30.18,41.73,42.31,55.04,56.04,2.17,2.23
Buffalo Sabres,15-16,82,81,0.494,199,215,18.9,82.57,8.2,0.914,4106.38,1.84,2.26,27.78,29.95,37.77,41.93,49.97,55.2,1.97,2.16
Calgary Flames,15-16,82,77,0.47,229,257,17.04,75.64,9.5,0.892,4074.6,2.37,2.55,28.24,28.6,38.73,40.88,53.26,57.19,2.26,2.34
Carolina Hurricanes,15-16,82,86,0.524,196,221,16.81,84.31,8,0.902,4177.77,2.01,2.43,28.57,27.6,40.67,39.64,54.65,51.79,2.41,2.44
Chicago Blackhawks*,15-16,82,103,0.628,234,207,22.62,80.26,9.4,0.918,4098.02,2.14,2.17,29.99,29.81,40.23,40.16,55.4,54.14,2.24,2.37
Colorado Avalanche,15-16,82,82,0.5,212,240,18.05,80.23,9,0.909,3984.17,2.12,2.35,27.41,32.05,37.11,45,49.11,62.21,1.92,2.48
Columbus Blue Jackets,15-16,82,76,0.463,213,248,17.34,81,8.9,0.903,4025.07,2.22,2.46,28.74,29.95,39.2,41.44,52.58,56.69,2.58,2.47
Dallas Stars*,15-16,82,109,0.665,265,228,22.14,82.26,10.1,0.904,4056.32,2.54,2.41,31.28,28.36,45.09,40.97,61.3,55.5,2.68,2.43
Detroit Red Wings*,15-16,82,93,0.567,209,219,18.8,81.55,8.6,0.91,4028.63,2.09,2.19,28.98,29.06,40.05,39.29,52.96,48.98,2.35,2.31
Edmonton Oilers,15-16,82,70,0.427,199,242,18.14,80.71,8.3,0.905,4049.7,2.07,2.58,28.62,30.21,39.44,42.06,54.34,56.76,2.37,2.47
Florida Panthers*,15-16,82,103,0.628,232,200,16.91,79.48,9.8,0.917,4007.32,2.47,1.92,28.12,28.48,38.12,39.38,48.42,50.43,2.12,2.13
Los Angeles Kings*,15-16,82,102,0.622,223,192,20,81.4,8.5,0.915,4064.78,2.3,1.87,31.82,26.08,46.87,36.37,62.54,48.06,2.54,2.12
Minnesota Wild*,15-16,82,87,0.53,213,204,18.53,77.94,9,0.913,4088.97,2.07,2.02,27.26,28.03,37.86,40.38,50.23,55.29,2.07,2.07
Montreal Canadiens,15-16,82,82,0.5,216,233,16.22,81.89,8.6,0.903,4050.95,2.28,2.37,30.19,28.66,41,39.12,56.48,53.39,2.29,2.25
Nashville Predators*,15-16,82,96,0.585,224,213,19.69,81.22,8.9,0.905,4040.85,2.15,2.21,29.52,26.85,41.5,36.41,55.77,50.97,2.18,1.97
New Jersey Devils,15-16,82,84,0.512,182,202,19.92,82.95,9.1,0.914,4016.63,1.72,2.02,23.48,27.34,32.65,37.02,42.33,49.49,1.94,2.14
New York Islanders*,15-16,82,100,0.61,227,211,18.78,84.48,9.4,0.915,4173.65,2.36,2.21,28.42,29.61,39.98,40.67,55.02,56.41,2.43,2.53
New York Rangers*,15-16,82,101,0.616,233,215,18.58,78.19,10,0.914,4122.25,2.43,2.01,27.15,29.58,38.28,41.77,51.41,57.27,2.32,2.58
Ottawa Senators,15-16,82,85,0.518,230,241,15.9,75.89,9.9,0.91,4103.55,2.34,2.22,27.69,31.8,38.43,43.46,52.89,58,2.22,2.42
Philadelphia Flyers*,15-16,82,96,0.585,211,210,18.93,80.53,8.3,0.917,4025.33,2.09,2,29.44,30.32,41.29,40.69,57.6,56.37,2.29,2.38
Pittsburgh Penguins*,15-16,82,104,0.634,241,199,18.39,84.44,8.9,0.918,4061.43,2.5,2.07,32.6,28.66,43.67,38.68,58.24,51.9,2.61,2.06
San Jose Sharks*,15-16,82,98,0.598,237,207,22.55,80.51,9.5,0.908,4061.05,2.26,2.01,29.05,26.14,40.97,36.37,55.46,52.04,2.45,1.97
St. Louis Blues*,15-16,82,107,0.652,219,197,21.52,85.14,8.9,0.919,4074.45,2.21,1.91,30.63,27.94,41.88,38.13,55.74,51.44,2.37,2.19
Tampa Bay Lightning*,15-16,82,97,0.591,224,198,15.77,84.05,9.3,0.916,3954.07,2.35,1.99,29.2,27.98,41.14,39.03,55.33,51.14,2.1,2.01
Toronto Maple Leafs,15-16,82,69,0.421,192,240,15.44,81.62,7.6,0.904,4005.23,1.87,2.53,29.44,30.98,43.1,43.47,58.6,55.83,2.32,2.33
Vancouver Canucks,15-16,82,75,0.457,186,239,15.79,81.12,8,0.91,4079.63,1.88,2.38,27.37,31.3,37.25,42.89,49.67,55.7,2.03,2.6
Washington Capitals*,15-16,82,120,0.732,248,191,21.91,85.16,9.9,0.918,4066.55,2.55,2.01,30.01,27.41,41.34,38.95,56.13,53.72,2.34,2.15
Winnipeg Jets,15-16,82,78,0.476,212,236,14.79,78.37,8.7,0.903,3981.22,2.26,2.22,29.54,28.06,40.9,38.72,55.23,52.11,2.41,2.36
Anaheim Ducks*,14-15,82,109,0.665,228,221,15.68,81.02,9.3,0.907,4103.65,2.47,2.22,28.93,27.93,42.29,39.7,55.97,53.33,2.36,2.2
Arizona Coyotes,14-15,82,56,0.341,165,267,20,76.7,6.9,0.902,4093.7,1.59,2.66,27.71,32,39.25,44.75,53.53,59.78,1.98,2.44
Boston Bruins,14-15,82,96,0.585,209,201,17.84,81.97,8.2,0.918,4189,2.16,2.05,30.04,28.57,41.39,39.34,56.34,51.38,2.16,1.99
Buffalo Sabres,14-15,82,54,0.329,153,269,13.39,75.1,7.7,0.908,4122.1,1.62,2.61,22.74,35.65,30.33,49.9,39.14,68.53,1.69,2.63
Calgary Flames*,14-15,82,97,0.591,237,213,18.82,80.65,10.5,0.911,4158.72,2.34,2.35,25.38,29.71,35.69,42.74,49.63,62.91,2.04,2.35
Carolina Hurricanes,14-15,82,71,0.433,183,219,18.75,84.74,7.3,0.902,4187.52,1.82,2.44,29.5,27.45,41.39,39.41,55.31,52.79,2.32,2.35
Chicago Blackhawks*,14-15,82,102,0.622,220,186,17.69,83.41,7.9,0.925,4130.05,2.25,1.92,33.15,29.69,44.16,39.07,60.79,51.71,2.4,2.28
Colorado Avalanche,14-15,82,90,0.549,209,223,14.98,84.65,9.1,0.918,4105.88,2.25,2.44,26.74,32.45,35.42,45.44,47.38,62.66,1.88,2.54
Columbus Blue Jackets,14-15,82,89,0.543,227,248,21.72,80.2,9.6,0.91,4001.68,2.25,2.54,27.98,32.14,37.84,43.39,49.67,56.55,2.11,2.35
Dallas Stars,14-15,82,92,0.561,257,257,18.97,80.71,10,0.895,3990.08,2.72,2.7,31.03,29.15,45.48,41.22,61.77,56.2,2.65,2.39
Detroit Red Wings*,14-15,82,100,0.61,231,211,23.81,80.9,9.5,0.909,3998.65,2.12,1.97,28.25,26.5,39,35.53,52.87,45.59,2.15,2
Edmonton Oilers,14-15,82,62,0.378,193,276,17.67,76.71,8.3,0.888,4189.4,1.91,2.93,26.93,30.15,37.75,42.9,51.74,58,2.05,2.61
Florida Panthers,14-15,82,91,0.555,198,213,16.26,80,7.9,0.912,4136.52,2.09,2.13,29.91,28.22,40.54,39.23,53.27,51.05,2.15,2
Los Angeles Kings,14-15,82,95,0.579,218,197,19.03,80.93,8.6,0.911,4103.23,2.29,1.93,30.9,25.64,44.38,36.6,59.75,47.51,2.38,2.03
Minnesota Wild*,14-15,82,100,0.61,227,198,15.85,86.32,9,0.913,4073.65,2.51,2.28,29.85,27.27,41.35,38.05,54.95,52.67,2.27,1.9
Montreal Canadiens*,14-15,82,110,0.671,214,184,16.53,83.66,9.2,0.926,4105.27,2.24,1.88,27.97,29.32,38.75,40.49,53.96,57.33,2.18,2.28
Nashville Predators*,14-15,82,104,0.634,226,202,16.22,80.77,8.6,0.913,4091.28,2.54,1.9,31.49,27.65,43.64,38.33,59.02,52.3,2.3,1.94
New Jersey Devils,14-15,82,78,0.476,176,209,19.34,80.6,8.8,0.917,4096.72,1.73,1.93,24.38,29.07,33.68,38.97,44.95,50.85,1.96,2.16
New York Islanders*,14-15,82,101,0.616,245,224,18.73,77.88,8.8,0.903,4156.58,2.52,2.31,32.74,27.6,45.43,38.16,61.81,54.24,2.96,2.43
New York Rangers*,14-15,82,113,0.689,248,187,16.81,84.26,9.6,0.923,4130.02,2.71,2,30.8,29.08,41.57,41.1,55.57,54.5,2.52,2.41
Ottawa Senators*,14-15,82,99,0.604,232,208,16.79,82.88,9.1,0.921,4056.6,2.35,2.27,29.45,31.47,40.47,42.2,55.85,54.67,2.33,2.22
Philadelphia Flyers,14-15,82,84,0.512,212,223,23.44,77.07,8.8,0.91,4082.65,1.99,2.1,27.67,29.57,38.56,40.89,53.37,55.87,2.06,2.26
Pittsburgh Penguins*,14-15,82,98,0.598,217,204,19.29,84.84,8.4,0.915,4036.53,2.28,2.08,31.21,27.01,42.49,36.44,57.31,49.11,2.32,2.07
San Jose Sharks,14-15,82,89,0.543,224,226,21.65,78.48,8.6,0.907,4124.82,2.1,2.33,29.78,28.95,42.83,40.78,59.59,56.2,2.43,2.3
St. Louis Blues*,14-15,82,109,0.665,239,197,22.31,83.66,9.4,0.912,4099.42,2.48,2.03,30.37,26.39,42.46,36.69,55.86,50.52,2.35,2
Tampa Bay Lightning*,14-15,82,108,0.659,259,206,18.79,83.66,10.7,0.91,4000.35,2.74,2.1,30.83,26.09,42.06,36.55,56.5,49.03,2.36,1.97
Toronto Maple Leafs,14-15,82,68,0.415,206,257,15.9,80.45,8.6,0.906,4003.63,2.09,2.67,27.57,33.17,38.61,46.68,51.02,61.63,2.08,2.63
Vancouver Canucks*,14-15,82,101,0.616,236,220,19.33,85.71,9.6,0.91,4052.87,2.34,2.41,29.26,29.21,40.09,40.05,53.07,54.72,2.15,2.39
Washington Capitals*,14-15,82,101,0.616,237,199,25.32,81.2,9.8,0.916,4102.95,2.36,1.99,28.45,26.68,40.65,37.23,56.26,51.77,2.27,1.99
Winnipeg Jets*,14-15,82,99,0.604,223,204,17.84,81.82,9.1,0.913,3964.82,2.32,1.98,29.69,26.8,41.59,37.02,57.15,49.43,2.5,2.24
Anaheim Ducks*,13-14,82,116,0.707,263,203,16,82.22,10.2,0.914,3989.05,2.98,2.07,30.53,27.9,42.26,40.6,55.65,54.4,2.52,2.3
Boston Bruins*,13-14,82,117,0.713,258,171,21.74,83.65,9.9,0.928,4111.57,2.66,1.62,31.96,27.36,44.29,37.07,59.92,48.76,2.31,1.92
Buffalo Sabres,13-14,82,52,0.317,150,243,14.06,81.39,7,0.914,4010.15,1.46,2.57,24.73,34.26,33.64,47.48,44.89,63.61,1.82,2.55
Calgary Flames,13-14,82,77,0.47,202,238,15.66,81.7,9.2,0.899,4131.98,2.1,2.61,25.84,28.66,36.46,40.53,49.46,58.57,1.97,2.32
Carolina Hurricanes,13-14,82,83,0.506,205,226,14.59,81.74,8,0.911,4074.17,2.08,2.35,30.3,30.97,42.79,43.88,57.83,57.94,2.43,2.54
Chicago Blackhawks*,13-14,82,107,0.652,261,212,19.46,81.45,9.6,0.905,4132.55,2.75,2.22,32.83,25.67,43.66,34.43,59.29,46.29,2.49,1.96
Colorado Avalanche*,13-14,82,112,0.683,245,216,19.84,80.72,10.1,0.919,4080.28,2.56,2.23,28.77,31.33,38.96,44.07,52.32,58.41,2.14,2.42
Columbus Blue Jackets*,13-14,82,93,0.567,226,214,19.29,82.14,9.3,0.915,3972.62,2.28,2.17,29.09,29.13,39.61,38.74,53.19,51.67,2.07,1.92
