Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60
Los Angeles Kings*,10-11,82,98,0.598,209,196,16.15,85.51,8.8,0.914,3989.47,2.28,2.12,28.11,27.17,40.96,38.62,55.64,51.12,2.19,2.03
Minnesota Wild,10-11,82,86,0.524,203,228,18.15,82.85,9.5,0.913,3969.78,1.98,2.35,24.99,31.19,35.28,43.64,46.93,57.42,1.83,2.26
Montreal Canadiens*,10-11,82,96,0.585,213,206,19.66,84.4,8.2,0.919,3915.35,2.2,2.1,31.48,29.55,43.9,40.37,59.42,55.59,2.34,2.36
Nashville Predators*,10-11,82,99,0.604,213,190,15.24,84.93,9,0.924,4037.83,2.33,2.04,28.74,29.97,38.89,40.52,51.9,52.11,2.24,2.2
New Jersey Devils,10-11,82,81,0.494,171,207,14.35,83.4,7.3,0.904,4098.9,1.81,2.21,27.76,25.93,37.48,34.79,48.77,45.39,2.01,1.89
New York Islanders,10-11,82,73,0.445,225,258,17.22,83.23,9.3,0.902,3947.92,2.24,2.83,27.74,31.77,38.44,45.28,52.37,62.8,2.43,2.88
New York Rangers*,10-11,82,93,0.567,224,195,16.9,83.66,9.1,0.919,3999.18,2.31,2.12,28.84,29.15,40.09,39.92,53.27,55.58,2.87,2.52
Ottawa Senators,10-11,82,74,0.451,190,245,17.51,83.73,8,0.904,3993.95,1.91,2.77,28.74,30.04,39.3,41.33,52.68,54.77,2.18,2.37
Philadelphia Flyers*,10-11,82,106,0.646,256,216,16.61,82.75,9.8,0.913,3913.78,2.78,2.24,32.04,29.73,43.3,41.75,58.13,57.27,2.66,2.5
Phoenix Coyotes*,10-11,82,99,0.604,226,220,15.92,78.38,9.1,0.918,4002.72,2.36,2.15,30.19,30.68,42.73,43.6,56.75,55.92,2.27,2.42
Pittsburgh Penguins*,10-11,82,106,0.646,228,196,15.76,86.11,8.8,0.917,3904.48,2.34,2.01,31.57,27.86,43.32,38.27,59,51.05,2.25,2.1
San Jose Sharks*,10-11,82,105,0.64,243,208,23.45,79.49,8.6,0.912,4050.18,2.4,2.01,32.33,27.59,45.14,38.03,60.64,51.39,2.68,2.08
St. Louis Blues,10-11,82,87,0.53,236,228,18.64,81.72,9.5,0.9,4013.25,2.5,2.49,29.76,27.24,42.26,38.24,56.26,51.44,2.31,2.23
Tampa Bay Lightning*,10-11,82,103,0.628,241,234,20.54,83.77,9.3,0.901,3928.47,2.43,2.41,31.42,27.47,43.3,38.18,57.54,52.85,2.44,1.98
Toronto Maple Leafs,10-11,82,85,0.518,213,245,15.95,77.45,9,0.904,3936.07,2.32,2.47,27.62,31.39,39.33,45.08,55.26,62.05,2.11,2.39
