Name,Team,Season,GP,TOI,GF%,SF%,FF%,CF%,xGF%,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,G±/60,S±/60,G±/60,F±/60,xG±/60,Sh%,Sv%
Wild,MIN,11-12,82,4073.15,41.01,45,44.16,43.53,47,1.56,2.24,25.16,30.76,34.86,44.08,46.91,60.85,1.95,2.2,-0.68,-5.59,-9.22,-13.94,-0.25,6.2,92.7
Canadiens,MTL,11-12,82,3944.92,48.57,47.94,47.85,47.98,47.89,2.19,2.32,27.26,29.61,37.73,41.12,52.79,57.24,2.05,2.23,-0.13,-2.35,-3.39,-4.45,-0.18,8.05,92.16
Devils,N.J,11-12,82,4083.3,49.09,50.42,50.76,50.83,52.35,2.11,2.19,26.25,25.81,35.2,34.15,46.26,44.74,2.09,1.9,-0.08,0.44,1.05,1.52,0.19,8.05,91.51
Predators,NSH,11-12,82,4140.5,50.8,47.67,47.34,46.9,49.9,2.31,2.24,27.32,29.99,37.13,41.3,49.06,55.55,2.12,2.13,0.07,-2.67,-4.17,-6.49,-0.01,8.46,92.53
Islanders,NYI,11-12,82,4147.45,42.02,49.1,48.45,47.19,48.83,1.9,2.62,28.38,29.41,38.65,41.12,51.87,58.05,2.44,2.55,-0.72,-1.04,-2.47,-6.17,-0.12,6.7,91.08
Rangers,NYR,11-12,82,4040.62,54.71,50.67,50.05,48.41,51.89,2.36,1.95,27.96,27.22,38.22,38.15,50.47,53.79,2.58,2.39,0.41,0.74,0.07,-3.33,0.19,8.43,92.84
Senators,OTT,11-12,82,3996.93,49.96,49.96,50.38,51.59,48.3,2.45,2.46,30.88,30.93,43.01,42.37,59.09,55.44,2.31,2.47,0,-0.05,0.64,3.65,-0.16,7.95,92.05
Flyers,PHI,11-12,82,3883.45,54.99,52.25,51.43,51.22,52.48,2.75,2.25,31.14,28.46,42.55,40.18,57.64,54.89,2.64,2.39,0.5,2.68,2.37,2.75,0.25,8.82,92.1
Penguins,PIT,11-12,82,4021.35,54.42,55.51,55.25,55.19,53.91,2.9,2.43,33.23,26.63,45.7,37.01,61.09,49.59,2.53,2.16,0.47,6.6,8.69,11.49,0.37,8.72,90.89
Sharks,S.J,11-12,82,4145.07,51.16,53.38,53.13,51.87,53.85,2.11,2.01,32.14,28.07,44.25,39.03,59.33,55.05,2.41,2.06,0.1,4.07,5.22,4.28,0.34,6.57,92.82
Blues,STL,11-12,82,4047.5,57.53,54.43,54.89,54.22,55.2,2.07,1.53,30.7,25.7,43.43,35.69,57.32,48.4,2.43,1.97,0.54,5,7.73,8.92,0.46,6.74,94.06
Lightning,T.B,11-12,82,4055.28,47.98,47.04,46.76,46.27,47.42,2.63,2.85,26.36,29.68,36.44,41.49,49.25,57.19,2.09,2.31,-0.22,-3.32,-5.05,-7.94,-0.23,9.97,90.4
Maple Leafs,TOR,11-12,82,4104.3,47.07,47.45,47.52,48.55,47.89,2.42,2.72,27.4,30.35,39.28,43.38,54.91,58.2,2.27,2.47,-0.3,-2.95,-4.1,-3.29,-0.2,8.83,91.04
Canucks,VAN,11-12,82,4034.17,54.72,51.05,52.42,53.77,48.9,2.47,2.05,30.71,29.45,42.43,38.51,58.31,50.15,2.19,2.29,0.43,1.26,3.92,8.17,-0.1,8.05,93.05
Jets,WPG,11-12,82,4044.35,50.54,51.12,51.17,50.41,50.53,2.43,2.37,30.13,28.81,42.75,40.8,55.9,55,2.48,2.43,0.05,1.32,1.95,0.91,0.05,8.05,91.76
Capitals,WSH,11-12,82,4078.85,50.88,48.48,48.67,48.32,49.57,2.34,2.26,27.38,29.1,38.24,40.32,52.2,55.83,2.06,2.09,0.08,-1.72,-2.08,-3.63,-0.04,8.54,92.24
Ducks,ANA,10-11,82,3992.63,47.86,46.18,45.29,44.65,45.54,2.2,2.4,26.55,30.94,36.88,44.55,47.35,58.69,2.11,2.52,-0.2,-4.39,-7.67,-11.34,-0.41,8.29,92.24
Coyotes,ARI,10-11,82,4002.72,52.4,49.6,49.49,50.37,48.45,2.36,2.15,30.19,30.68,42.73,43.6,56.75,55.92,2.27,2.42,0.22,-0.49,-0.87,0.83,-0.15,7.83,93
