,Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,Playoffs,PTS/82
111,New York Rangers*,15-16,82,101,0.616,233,215,18.58,78.19,10,0.914,4122.25,2.43,2.01,27.15,29.58,38.28,41.77,51.41,57.27,2.32,2.58,1,101
112,Ottawa Senators,15-16,82,85,0.518,230,241,15.9,75.89,9.9,0.91,4103.55,2.34,2.22,27.69,31.8,38.43,43.46,52.89,58,2.22,2.42,0,85
113,Philadelphia Flyers*,15-16,82,96,0.585,211,210,18.93,80.53,8.3,0.917,4025.33,2.09,2,29.44,30.32,41.29,40.69,57.6,56.37,2.29,2.38,1,96
114,Pittsburgh Penguins*,15-16,82,104,0.634,241,199,18.39,84.44,8.9,0.918,4061.43,2.5,2.07,32.6,28.66,43.67,38.68,58.24,51.9,2.61,2.06,1,104
115,San Jose Sharks*,15-16,82,98,0.598,237,207,22.55,80.51,9.5,0.908,4061.05,2.26,2.01,29.05,26.14,40.97,36.37,55.46,52.04,2.45,1.97,1,98
116,St. Louis Blues*,15-16,82,107,0.652,219,197,21.52,85.14,8.9,0.919,4074.45,2.21,1.91,30.63,27.94,41.88,38.13,55.74,51.44,2.37,2.19,1,107
117,Tampa Bay Lightning*,15-16,82,97,0.591,224,198,15.77,84.05,9.3,0.916,3954.07,2.35,1.99,29.2,27.98,41.14,39.03,55.33,51.14,2.1,2.01,1,97
118,Toronto Maple Leafs,15-16,82,69,0.421,192,240,15.44,81.62,7.6,0.904,4005.23,1.87,2.53,29.44,30.98,43.1,43.47,58.6,55.83,2.32,2.33,0,69
119,Vancouver Canucks,15-16,82,75,0.457,186,239,15.79,81.12,8,0.91,4079.63,1.88,2.38,27.37,31.3,37.25,42.89,49.67,55.7,2.03,2.6,0,75
120,Washington Capitals*,15-16,82,120,0.732,248,191,21.91,85.16,9.9,0.918,4066.55,2.55,2.01,30.01,27.41,41.34,38.95,56.13,53.72,2.34,2.15,1,120
121,Winnipeg Jets,15-16,82,78,0.476,212,236,14.79,78.37,8.7,0.903,3981.22,2.26,2.22,29.54,28.06,40.9,38.72,55.23,52.11,2.41,2.36,0,78
122,Anaheim Ducks*,14-15,82,109,0.665,228,221,15.68,81.02,9.3,0.907,4103.65,2.47,2.22,28.93,27.93,42.29,39.7,55.97,53.33,2.36,2.2,1,109
123,Arizona Coyotes,14-15,82,56,0.341,165,267,20,76.7,6.9,0.902,4093.7,1.59,2.66,27.71,32,39.25,44.75,53.53,59.78,1.98,2.44,0,56
124,Boston Bruins,14-15,82,96,0.585,209,201,17.84,81.97,8.2,0.918,4189,2.16,2.05,30.04,28.57,41.39,39.34,56.34,51.38,2.16,1.99,0,96
125,Buffalo Sabres,14-15,82,54,0.329,153,269,13.39,75.1,7.7,0.908,4122.1,1.62,2.61,22.74,35.65,30.33,49.9,39.14,68.53,1.69,2.63,0,54
126,Calgary Flames*,14-15,82,97,0.591,237,213,18.82,80.65,10.5,0.911,4158.72,2.34,2.35,25.38,29.71,35.69,42.74,49.63,62.91,2.04,2.35,1,97
127,Carolina Hurricanes,14-15,82,71,0.433,183,219,18.75,84.74,7.3,0.902,4187.52,1.82,2.44,29.5,27.45,41.39,39.41,55.31,52.79,2.32,2.35,0,71
128,Chicago Blackhawks*,14-15,82,102,0.622,220,186,17.69,83.41,7.9,0.925,4130.05,2.25,1.92,33.15,29.69,44.16,39.07,60.79,51.71,2.4,2.28,1,102
129,Colorado Avalanche,14-15,82,90,0.549,209,223,14.98,84.65,9.1,0.918,4105.88,2.25,2.44,26.74,32.45,35.42,45.44,47.38,62.66,1.88,2.54,0,90
130,Columbus Blue Jackets,14-15,82,89,0.543,227,248,21.72,80.2,9.6,0.91,4001.68,2.25,2.54,27.98,32.14,37.84,43.39,49.67,56.55,2.11,2.35,0,89
131,Dallas Stars,14-15,82,92,0.561,257,257,18.97,80.71,10,0.895,3990.08,2.72,2.7,31.03,29.15,45.48,41.22,61.77,56.2,2.65,2.39,0,92
132,Detroit Red Wings*,14-15,82,100,0.61,231,211,23.81,80.9,9.5,0.909,3998.65,2.12,1.97,28.25,26.5,39,35.53,52.87,45.59,2.15,2,1,100
133,Edmonton Oilers,14-15,82,62,0.378,193,276,17.67,76.71,8.3,0.888,4189.4,1.91,2.93,26.93,30.15,37.75,42.9,51.74,58,2.05,2.61,0,62
134,Florida Panthers,14-15,82,91,0.555,198,213,16.26,80,7.9,0.912,4136.52,2.09,2.13,29.91,28.22,40.54,39.23,53.27,51.05,2.15,2,0,91
135,Los Angeles Kings,14-15,82,95,0.579,218,197,19.03,80.93,8.6,0.911,4103.23,2.29,1.93,30.9,25.64,44.38,36.6,59.75,47.51,2.38,2.03,0,95
136,Minnesota Wild*,14-15,82,100,0.61,227,198,15.85,86.32,9,0.913,4073.65,2.51,2.28,29.85,27.27,41.35,38.05,54.95,52.67,2.27,1.9,1,100
137,Montreal Canadiens*,14-15,82,110,0.671,214,184,16.53,83.66,9.2,0.926,4105.27,2.24,1.88,27.97,29.32,38.75,40.49,53.96,57.33,2.18,2.28,1,110
138,Nashville Predators*,14-15,82,104,0.634,226,202,16.22,80.77,8.6,0.913,4091.28,2.54,1.9,31.49,27.65,43.64,38.33,59.02,52.3,2.3,1.94,1,104
139,New Jersey Devils,14-15,82,78,0.476,176,209,19.34,80.6,8.8,0.917,4096.72,1.73,1.93,24.38,29.07,33.68,38.97,44.95,50.85,1.96,2.16,0,78
140,New York Islanders*,14-15,82,101,0.616,245,224,18.73,77.88,8.8,0.903,4156.58,2.52,2.31,32.74,27.6,45.43,38.16,61.81,54.24,2.96,2.43,1,101
141,New York Rangers*,14-15,82,113,0.689,248,187,16.81,84.26,9.6,0.923,4130.02,2.71,2,30.8,29.08,41.57,41.1,55.57,54.5,2.52,2.41,1,113
142,Ottawa Senators*,14-15,82,99,0.604,232,208,16.79,82.88,9.1,0.921,4056.6,2.35,2.27,29.45,31.47,40.47,42.2,55.85,54.67,2.33,2.22,1,99
143,Philadelphia Flyers,14-15,82,84,0.512,212,223,23.44,77.07,8.8,0.91,4082.65,1.99,2.1,27.67,29.57,38.56,40.89,53.37,55.87,2.06,2.26,0,84
144,Pittsburgh Penguins*,14-15,82,98,0.598,217,204,19.29,84.84,8.4,0.915,4036.53,2.28,2.08,31.21,27.01,42.49,36.44,57.31,49.11,2.32,2.07,1,98
145,San Jose Sharks,14-15,82,89,0.543,224,226,21.65,78.48,8.6,0.907,4124.82,2.1,2.33,29.78,28.95,42.83,40.78,59.59,56.2,2.43,2.3,0,89
146,St. Louis Blues*,14-15,82,109,0.665,239,197,22.31,83.66,9.4,0.912,4099.42,2.48,2.03,30.37,26.39,42.46,36.69,55.86,50.52,2.35,2,1,109
147,Tampa Bay Lightning*,14-15,82,108,0.659,259,206,18.79,83.66,10.7,0.91,4000.35,2.74,2.1,30.83,26.09,42.06,36.55,56.5,49.03,2.36,1.97,1,108
148,Toronto Maple Leafs,14-15,82,68,0.415,206,257,15.9,80.45,8.6,0.906,4003.63,2.09,2.67,27.57,33.17,38.61,46.68,51.02,61.63,2.08,2.63,0,68
149,Vancouver Canucks*,14-15,82,101,0.616,236,220,19.33,85.71,9.6,0.91,4052.87,2.34,2.41,29.26,29.21,40.09,40.05,53.07,54.72,2.15,2.39,1,101
150,Washington Capitals*,14-15,82,101,0.616,237,199,25.32,81.2,9.8,0.916,4102.95,2.36,1.99,28.45,26.68,40.65,37.23,56.26,51.77,2.27,1.99,1,101
151,Winnipeg Jets*,14-15,82,99,0.604,223,204,17.84,81.82,9.1,0.913,3964.82,2.32,1.98,29.69,26.8,41.59,37.02,57.15,49.43,2.5,2.24,1,99
152,Anaheim Ducks*,13-14,82,116,0.707,263,203,16,82.22,10.2,0.914,3989.05,2.98,2.07,30.53,27.9,42.26,40.6,55.65,54.4,2.52,2.3,1,116
153,Boston Bruins*,13-14,82,117,0.713,258,171,21.74,83.65,9.9,0.928,4111.57,2.66,1.62,31.96,27.36,44.29,37.07,59.92,48.76,2.31,1.92,1,117
154,Buffalo Sabres,13-14,82,52,0.317,150,243,14.06,81.39,7,0.914,4010.15,1.46,2.57,24.73,34.26,33.64,47.48,44.89,63.61,1.82,2.55,0,52
155,Calgary Flames,13-14,82,77,0.47,202,238,15.66,81.7,9.2,0.899,4131.98,2.1,2.61,25.84,28.66,36.46,40.53,49.46,58.57,1.97,2.32,0,77
156,Carolina Hurricanes,13-14,82,83,0.506,205,226,14.59,81.74,8,0.911,4074.17,2.08,2.35,30.3,30.97,42.79,43.88,57.83,57.94,2.43,2.54,0,83
157,Chicago Blackhawks*,13-14,82,107,0.652,261,212,19.46,81.45,9.6,0.905,4132.55,2.75,2.22,32.83,25.67,43.66,34.43,59.29,46.29,2.49,1.96,1,107
158,Colorado Avalanche*,13-14,82,112,0.683,245,216,19.84,80.72,10.1,0.919,4080.28,2.56,2.23,28.77,31.33,38.96,44.07,52.32,58.41,2.14,2.42,1,112
159,Columbus Blue Jackets*,13-14,82,93,0.567,226,214,19.29,82.14,9.3,0.915,3972.62,2.28,2.17,29.09,29.13,39.61,38.74,53.19,51.67,2.07,1.92,1,93
160,Dallas Stars*,13-14,82,91,0.555,231,223,15.86,81.37,8.9,0.911,4018.52,2.44,2.33,30.23,29.2,43.1,41.59,57.76,56.22,2.47,2.46,1,91
161,Detroit Red Wings*,13-14,82,93,0.567,217,221,17.73,83.05,8.8,0.908,4011.73,2.3,2.29,29.05,28.22,40.05,37.34,52.15,48.25,2.09,2.06,1,93
162,Edmonton Oilers,13-14,82,67,0.409,199,267,16.97,82.14,9,0.901,3993.93,2.1,2.86,25.69,32.7,35.47,46.41,47.69,62.16,2.11,2.65,0,67
163,Florida Panthers,13-14,82,66,0.402,188,262,10.04,75.95,7.7,0.897,4034.2,2.11,2.73,28.8,30.71,39.98,41.55,52.15,54.15,2.2,2.35,0,66
164,Los Angeles Kings*,13-14,82,100,0.61,198,168,15.14,83.11,7.6,0.922,3959.88,2.05,1.61,31.52,24.76,45.87,35.32,61.98,46.03,2.46,1.98,1,100
165,Minnesota Wild*,13-14,82,98,0.598,199,198,17.86,78.8,9.1,0.913,4099.32,2.01,1.81,25.72,26.46,35.88,37.63,48.23,51.18,1.86,1.83,1,98
166,Montreal Canadiens*,13-14,82,100,0.61,209,201,17.2,85.12,9,0.921,3967.52,2.15,2.12,27.86,30.4,39.29,42.24,53.21,59.92,2.23,2.4,1,100
167,Nashville Predators,13-14,82,88,0.537,214,233,19.25,80.25,9,0.902,4115.42,2.27,2.57,28.7,28.59,39.08,39.9,51.24,54.55,2.1,1.96,0,88
168,New Jersey Devils,13-14,82,88,0.537,197,195,19.5,86.36,9,0.907,4079.33,1.92,2.04,26.38,24.09,36.87,32.08,49.44,41.45,2.2,1.78,0,88
169,New York Islanders,13-14,82,79,0.482,216,261,17.75,78.11,8.5,0.894,4075.57,2.16,2.65,29.36,29.99,39.96,42.42,54.55,57.92,2.54,2.62,0,79
170,New York Rangers*,13-14,82,96,0.585,214,190,18.18,85.34,7.9,0.921,4078.6,2.18,2.05,32.55,28.82,44.32,39.94,58.82,53.48,2.56,2.42,1,96
171,Ottawa Senators,13-14,82,88,0.537,229,258,18.45,80.94,8.5,0.909,3993.3,2.4,2.65,32.7,33.77,46.05,45.33,61.09,56.99,2.34,2.55,0,88
172,Philadelphia Flyers*,13-14,82,94,0.573,233,227,19.73,84.81,9.4,0.909,3891.55,2.31,2.36,29.02,30.93,40.89,41.86,56.68,56.27,2.21,2.21,1,94
173,Phoenix Coyotes,13-14,82,89,0.543,210,224,19.86,79.04,8.4,0.912,4067.85,2.1,2.11,29.39,29.6,40.8,40.89,55.23,54.07,2.04,2.29,0,89
174,Pittsburgh Penguins*,13-14,82,109,0.665,242,204,23.38,85.04,9.9,0.913,4065.25,2.36,2.24,28.67,27.13,38.89,38.95,52.01,53.1,2.07,2,1,109
175,San Jose Sharks*,13-14,82,111,0.677,239,193,17.18,84.93,8.4,0.915,4104.53,2.42,2.07,33.08,26.98,46.77,37.93,63.45,52.78,2.73,2,1,111
176,St. Louis Blues*,13-14,82,111,0.677,239,188,19.79,85.67,10,0.913,4006.88,2.48,1.98,29.23,25.56,41.83,35.48,56.17,48.52,2.25,1.91,1,111
177,Tampa Bay Lightning*,13-14,82,101,0.616,232,209,18.52,80.74,9.5,0.913,4032.6,2.37,1.98,29.92,27.58,42.08,39.46,55.22,52.38,2.19,2.12,1,101
178,Toronto Maple Leafs,13-14,82,84,0.512,222,252,19.84,78.36,9.7,0.914,4074.5,2.21,2.51,26.59,35.31,36.8,51.2,49.56,67.18,2.01,2.69,0,84
179,Vancouver Canucks,13-14,82,83,0.506,191,216,15.18,83.21,7.6,0.907,4056.63,2.13,2.19,29.63,28.28,41.95,39.26,56.78,54.15,2.21,2.23,0,83
180,Washington Capitals,13-14,82,90,0.549,225,229,23.37,82.04,9.3,0.917,4069.07,2.1,2.35,27.12,31.58,38.07,43.04,51.9,57.5,2.08,2.34,0,90
181,Winnipeg Jets,13-14,82,84,0.512,219,231,15.44,83.16,8.7,0.907,4056.68,2.39,2.47,30.15,29.75,42.12,41.34,56.53,56.59,2.49,2.45,0,84
182,Anaheim Ducks*,13-Dec,48,66,0.688,134,115,21.48,81.48,9.9,0.914,2427.58,2.23,1.88,26.66,26.73,37.27,39.55,50.98,55,2.15,2.18,1,112.75
183,Boston Bruins*,13-Dec,48,62,0.646,127,106,14.75,87.12,8.2,0.923,2402.43,2.37,1.91,33.18,27.63,46.25,37.77,63.07,50.64,2.45,2.12,1,105.9166667
184,Buffalo Sabres,13-Dec,48,48,0.5,118,139,14.11,79.21,8.8,0.913,2350.68,2.11,2.32,26.8,32.44,36.03,44.93,48.08,59.56,1.93,2.48,0,82
185,Calgary Flames,13-Dec,48,42,0.438,128,157,20,81.46,9.9,0.889,2372.72,2.14,3.07,26.54,29.77,36.93,41.99,49.77,56.96,2.22,2.39,0,71.75
186,Carolina Hurricanes,13-Dec,48,42,0.438,127,159,14.55,77.64,8.2,0.897,2349.85,2.31,2.84,31.65,31.81,44.65,44.96,60.72,59.31,2.61,2.87,0,71.75
187,Chicago Blackhawks*,13-Dec,48,77,0.802,149,97,16.67,87.23,10,0.923,2414.43,2.85,1.74,31.77,24.8,42.49,32.89,57,45.32,2.41,2,1,131.5416667
188,Colorado Avalanche,13-Dec,48,39,0.406,114,150,15,80.33,8.1,0.901,2365.97,2.12,2.64,28.84,30.77,39.25,43.06,52.86,59.29,2.14,2.39,0,66.625
189,Columbus Blue Jackets,13-Dec,48,55,0.573,115,115,14.19,82.64,9,0.92,2417.55,2.16,2.04,25.5,29.71,34.39,40.09,48.02,53.17,1.78,2.09,0,93.95833333
190,Dallas Stars,13-Dec,48,48,0.5,128,141,16.96,81.01,10.2,0.905,2300.65,2.49,2.48,26.03,30.06,37.79,42.57,53.23,56.06,2.2,2.55,0,82
191,Detroit Red Wings*,13-Dec,48,56,0.583,122,110,18.38,81.71,8.4,0.917,2337.13,2.02,1.8,29.77,26.71,41.84,35.71,55.55,47.05,2.28,2.03,1,95.66666667
192,Edmonton Oilers,13-Dec,48,45,0.469,123,131,20.12,83.43,9.6,0.917,2321.97,2.09,2.48,26.32,32.56,36.7,45.3,48.55,61.09,2.13,2.68,0,76.875
193,Florida Panthers,13-Dec,48,36,0.375,109,170,20.42,74.17,7.8,0.887,2398.95,1.62,3.08,27.5,31.64,37.92,43.05,50.34,56.42,1.98,2.41,0,61.5
194,Los Angeles Kings*,13-Dec,48,59,0.615,131,114,19.88,83.23,9.2,0.905,2373.58,2.25,2.03,30.21,24.07,43.64,33.94,57.88,43.71,2.38,1.87,1,100.7916667
195,Minnesota Wild*,13-Dec,48,55,0.573,118,125,17.88,80.74,8.5,0.904,2389.43,2.09,2.38,27.24,27.01,37.13,38.04,49.99,51.02,2.1,1.93,1,93.95833333
196,Montreal Canadiens*,13-Dec,48,63,0.656,146,124,20.69,79.77,9.9,0.904,2289.03,2.62,2.2,30.08,26.6,42.32,36.32,58.71,50.92,2.3,1.89,1,107.625
197,Nashville Predators,13-Dec,48,41,0.427,109,133,17.14,75.54,8.8,0.9,2439.93,1.93,2.17,24.69,27.74,33.98,39.12,45.37,53.88,1.97,1.98,0,70.04166667
198,New Jersey Devils,13-Dec,48,48,0.5,110,122,15.91,81.07,8.1,0.89,2346.82,1.64,1.98,26.43,22.94,37.66,30.73,50.31,40.75,2.15,1.77,0,82
199,New York Islanders*,13-Dec,48,55,0.573,135,136,19.87,80.28,9.1,0.899,2426.5,2.36,2.48,30.29,27.12,40.99,39.27,56.03,55.24,2.63,2.42,1,93.95833333
200,New York Rangers*,13-Dec,48,56,0.583,126,108,15.69,81.08,8.5,0.92,2395.55,2.33,1.71,31.23,26.93,43.14,38.08,57.98,54.38,2.61,2.31,1,95.66666667
201,Ottawa Senators*,13-Dec,48,56,0.583,112,100,15.92,88.02,7,0.933,2356.32,1.91,1.92,32.74,30.07,45.19,40.77,61.92,53.59,2.39,2.14,1,95.66666667
202,Philadelphia Flyers,13-Dec,48,49,0.51,132,139,21.64,85.87,9.5,0.899,2281.02,2.28,2.62,28.34,28.91,39.19,41.96,53.58,58.12,2.15,2.35,0,83.70833333
203,Phoenix Coyotes,13-Dec,48,51,0.531,121,125,14.79,79.88,8.2,0.915,2371.98,2.22,2.18,31.03,30.2,43.64,42.2,57.62,55.93,2.28,2.35,0,87.125
204,Pittsburgh Penguins*,13-Dec,48,72,0.75,162,119,24.71,79.64,11.3,0.915,2333.57,2.88,1.89,30.03,28.79,41.29,39.78,55.46,54.87,2.29,2.08,1,123
205,San Jose Sharks*,13-Dec,48,57,0.594,116,112,20.12,85.03,7.6,0.919,2415.22,1.92,2.02,30.05,27.9,42.98,39.61,58.72,55.79,2.43,2.1,1,97.375
206,St. Louis Blues*,13-Dec,48,60,0.625,124,114,19.46,84.67,9.3,0.902,2396.18,2.26,2.04,27.52,24.06,38.34,34.03,51.6,47.48,2,1.96,1,102.5
207,Tampa Bay Lightning,13-Dec,48,40,0.417,147,147,19.02,80.65,11.1,0.899,2341.43,2.73,2.61,27.29,30.54,37.59,43.26,49.66,57.27,2.06,2.2,0,68.33333333
208,Toronto Maple Leafs*,13-Dec,48,57,0.594,145,128,18.67,87.9,11.5,0.917,2345.77,2.75,2.46,26.4,32.38,37.69,46.17,51.99,63.3,2.03,2.4,1,97.375
209,Vancouver Canucks*,13-Dec,48,59,0.615,122,115,15.76,84.02,9,0.917,2356.67,2.22,2.08,27.97,28.28,39.21,37.66,53.6,49.09,2.18,2.18,1,100.7916667
210,Washington Capitals*,13-Dec,48,57,0.594,146,130,26.83,77.91,10.8,0.916,2359.03,2.4,2.21,27.92,31,39.06,41.11,53.98,56.48,2.22,2.28,1,97.375
211,Winnipeg Jets,13-Dec,48,51,0.531,126,141,13.79,79.71,9.1,0.901,2422.92,2.44,2.53,28.35,29.53,41.14,42.13,56.29,57.45,2.4,2.46,0,87.125
212,Anaheim Ducks,12-Nov,82,80,0.488,201,224,16.61,81.98,8.8,0.905,4021.32,2.11,2.4,26.29,28.69,37.99,40.9,50.72,54.78,2.13,2.35,0,80
213,Boston Bruins*,12-Nov,82,102,0.622,260,199,17.2,83.46,9.8,0.918,4093.9,2.91,2.16,32.43,28.61,44.72,38.29,60.68,50.87,2.34,1.99,1,102
214,Buffalo Sabres,12-Nov,82,89,0.543,211,223,17.05,81.71,8.8,0.913,4112.8,2.27,2.23,28.28,30.04,38.76,41.78,52.4,54.48,2.11,2.28,0,89
215,Calgary Flames,12-Nov,82,90,0.549,199,217,17.69,84.33,8.8,0.914,4095.63,2.06,2.22,26.75,30.09,36.84,42.01,50.31,55.5,2.14,2.19,0,90
216,Carolina Hurricanes,12-Nov,82,82,0.5,212,237,16.67,80.56,8.5,0.911,4059.73,2.09,2.51,29.11,31.77,41.12,44.55,56.01,59.55,2.41,2.71,0,82
217,Chicago Blackhawks*,12-Nov,82,101,0.616,241,231,15.16,78.11,9.3,0.901,4091.08,2.48,2.49,30.94,27.78,42.27,37.8,56.42,50.24,2.41,2.2,1,101
218,Colorado Avalanche,12-Nov,82,88,0.537,199,218,18.39,83.03,7.7,0.91,4117.88,2.12,2.19,30.56,29.5,41.39,41.15,56.24,54.25,2.22,2.22,0,88
219,Columbus Blue Jackets,12-Nov,82,65,0.396,198,257,15.46,76.64,8.1,0.899,3944.93,1.98,2.59,27.59,31.22,37.04,41.4,48.49,54.77,2.01,2.12,0,65
220,Dallas Stars,12-Nov,82,89,0.543,204,218,13.52,82.84,8.8,0.914,4041.37,2.23,2.29,28.62,29.7,40.67,41.56,54.77,56.69,2.05,2.21,0,89
221,Detroit Red Wings*,12-Nov,82,102,0.622,239,200,16.11,81.75,9.1,0.91,4018.03,2.71,1.9,32.03,26.17,43.6,35.64,57.15,46.57,2.4,2.01,1,102
222,Edmonton Oilers,12-Nov,82,74,0.451,207,232,20.61,82.43,9.5,0.908,3998.23,2.12,2.38,26.65,30.18,37.6,41.6,50.21,56.94,2.26,2.64,0,74
223,Florida Panthers*,12-Nov,82,94,0.573,197,216,18.53,79.5,8.1,0.914,4118.27,1.82,2.22,28.17,30.03,38.85,40.25,51.5,53.3,1.93,2.18,1,94
224,Los Angeles Kings*,12-Nov,82,95,0.579,188,170,16.96,87.03,7.5,0.924,3977.25,1.82,1.87,30.85,26.03,44.29,38.05,60.03,49.23,2.29,2.06,1,95
225,Minnesota Wild,12-Nov,82,81,0.494,166,217,15.12,82.11,7.6,0.916,4073.15,1.56,2.24,25.16,30.76,34.86,44.08,46.91,60.85,1.95,2.2,0,81
226,Montreal Canadiens,12-Nov,82,78,0.476,207,214,14.29,88.57,8.8,0.912,3944.92,2.19,2.32,27.26,29.61,37.73,41.12,52.79,57.24,2.05,2.23,0,78
227,Nashville Predators*,12-Nov,82,104,0.634,232,205,21.6,83.61,10.3,0.919,4140.5,2.31,2.24,27.32,29.99,37.13,41.3,49.06,55.55,2.12,2.13,1,104
228,New Jersey Devils*,12-Nov,82,102,0.622,216,205,17.23,89.58,9.6,0.907,4083.3,2.11,2.19,26.25,25.81,35.2,34.15,46.26,44.74,2.09,1.9,1,102
229,New York Islanders,12-Nov,82,79,0.482,196,251,18.52,80.51,8.1,0.898,4147.45,1.9,2.62,28.38,29.41,38.65,41.12,51.87,58.05,2.44,2.55,0,79
230,New York Rangers*,12-Nov,82,109,0.665,222,182,15.71,86.15,9.5,0.92,4040.62,2.36,1.95,27.96,27.22,38.22,38.15,50.47,53.79,2.58,2.39,1,109
231,Ottawa Senators*,12-Nov,82,92,0.561,243,236,18.15,81.61,9.4,0.91,3996.93,2.45,2.46,30.88,30.93,43.01,42.37,59.09,55.44,2.31,2.47,1,92
232,Philadelphia Flyers*,12-Nov,82,103,0.628,260,225,19.7,81.82,9.8,0.903,3883.45,2.75,2.25,31.14,28.46,42.55,40.18,57.64,54.89,2.64,2.39,1,103
233,Phoenix Coyotes*,12-Nov,82,97,0.591,210,194,13.55,85.54,8.6,0.925,4128.52,2.36,2.11,29.82,30.52,41.96,43.02,55.99,55.77,2.32,2.42,1,97
234,Pittsburgh Penguins*,12-Nov,82,108,0.659,273,218,19.72,87.78,9.8,0.903,4021.35,2.9,2.43,33.23,26.63,45.7,37.01,61.09,49.59,2.53,2.16,1,108
235,San Jose Sharks*,12-Nov,82,96,0.585,219,205,21.11,76.89,7.9,0.912,4145.07,2.11,2.01,32.14,28.07,44.25,39.03,59.33,55.05,2.41,2.06,1,96
236,St. Louis Blues*,12-Nov,82,109,0.665,206,155,16.73,85.82,8.2,0.929,4047.5,2.07,1.53,30.7,25.7,43.43,35.69,57.32,48.4,2.43,1.97,1,109
237,Tampa Bay Lightning,12-Nov,82,84,0.512,232,278,15.24,79.23,10.4,0.889,4055.28,2.63,2.85,26.36,29.68,36.44,41.49,49.25,57.19,2.09,2.31,0,84
238,Toronto Maple Leafs,12-Nov,82,80,0.488,227,259,18.35,77.27,9.8,0.898,4104.3,2.42,2.72,27.4,30.35,39.28,43.38,54.91,58.2,2.27,2.47,0,80
239,Vancouver Canucks*,12-Nov,82,111,0.677,241,191,19.79,86.01,9.3,0.924,4034.17,2.47,2.05,30.71,29.45,42.43,38.51,58.31,50.15,2.19,2.29,1,111
240,Washington Capitals*,12-Nov,82,92,0.561,218,226,16.73,81.58,9.5,0.909,4078.85,2.34,2.26,27.38,29.1,38.24,40.32,52.2,55.83,2.06,2.09,1,92
241,Winnipeg Jets,12-Nov,82,84,0.512,221,242,17.93,80.14,8.9,0.902,4044.35,2.43,2.37,30.13,28.81,42.75,40.8,55.9,55,2.48,2.43,0,84
242,Anaheim Ducks*,11-Oct,82,99,0.604,235,233,23.51,81.31,10.1,0.912,3992.63,2.2,2.4,26.55,30.94,36.88,44.55,47.35,58.69,2.11,2.52,1,99
243,Atlanta Thrashers,11-Oct,82,80,0.488,218,262,18.34,77.54,8.4,0.901,4067.63,2.2,2.5,30.41,31.38,41.65,42.12,55.01,58.16,2.33,2.56,0,80
244,Boston Bruins*,11-Oct,82,103,0.628,244,189,16.17,82.64,9.1,0.93,4038.38,2.63,1.89,32.61,31.83,44.09,42.86,60.18,56.92,2.36,2.33,1,103
245,Buffalo Sabres*,11-Oct,82,96,0.585,240,228,19.35,83,8.9,0.909,4011.17,2.61,2.32,32.37,29.71,42.8,41.35,56.43,55.24,2.37,2.27,1,96
246,Calgary Flames,11-Oct,82,94,0.573,241,230,19.5,81.21,9.6,0.902,3981.43,2.45,2.31,29.57,27.31,41.73,37.99,55.91,52.6,2.24,1.91,0,94
247,Carolina Hurricanes,11-Oct,82,91,0.555,231,234,15.9,81.25,9.2,0.914,3903.65,2.43,2.55,29.83,33.37,42.41,47.5,58.92,62.4,2.57,2.79,0,91
248,Chicago Blackhawks*,11-Oct,82,97,0.591,252,220,23.1,79.22,9.6,0.907,4084,2.5,2.22,31.94,26.97,43.03,36.43,57.17,49.25,2.37,2.16,1,97
249,Colorado Avalanche,11-Oct,82,68,0.415,221,287,18.49,76.11,9.2,0.89,3981.57,2.27,2.73,27.9,31.55,38.04,43.9,49.83,58.53,2.25,2.36,0,68
250,Columbus Blue Jackets,11-Oct,82,81,0.494,210,250,13.95,80.25,8.4,0.898,3965.03,2.23,2.54,29.18,29.14,40.22,39.83,53.39,53.26,2.26,2.23,0,81
251,Dallas Stars,11-Oct,82,95,0.579,222,226,17.97,80.14,9.8,0.91,3963.55,2.26,2.16,25.81,29.64,37.78,41.38,50.82,55.46,2.02,2.21,0,95
252,Detroit Red Wings*,11-Oct,82,104,0.634,257,237,22.26,82.33,9.3,0.906,3983.2,2.63,2.53,32.68,30.2,45.93,41.07,59.42,52.06,2.42,2.27,1,104
253,Edmonton Oilers,11-Oct,82,62,0.378,191,260,14.47,76.95,8.7,0.9,3923.35,1.99,2.65,25.66,31.07,35.58,43.89,49.01,59.19,2.15,2.78,0,62
254,Florida Panthers,11-Oct,82,72,0.439,191,222,13.11,84.64,7.7,0.915,4026.05,2.14,2.43,29.77,30.77,41.25,42.15,55.17,55.72,2.3,2.2,0,72
255,Los Angeles Kings*,11-Oct,82,98,0.598,209,196,16.15,85.51,8.8,0.914,3989.47,2.28,2.12,28.11,27.17,40.96,38.62,55.64,51.12,2.19,2.03,1,98
256,Minnesota Wild,11-Oct,82,86,0.524,203,228,18.15,82.85,9.5,0.913,3969.78,1.98,2.35,24.99,31.19,35.28,43.64,46.93,57.42,1.83,2.26,0,86
257,Montreal Canadiens*,11-Oct,82,96,0.585,213,206,19.66,84.4,8.2,0.919,3915.35,2.2,2.1,31.48,29.55,43.9,40.37,59.42,55.59,2.34,2.36,1,96
